SKSKODE	TEKST
BWZC1	Intraokulært
BWZC2	Retrobulbært
BWZC3	Subkonjunktivalt
BWZD0	Nasalt
BWZD1	Aurikulært
BWZD2	Endosinusialt
BWZE0	Oralt
BWZE1	Oromukosalt
BWZE2	Dentalt
BWZE3	Gingivalt
BWZF0	Intrakardialt
BWZF1	Intrakoronart
BWZG0	Inhalation
BWZG1	Inhalation med spray
BWZG2	Endotrakeopulmonal installation
BWZG3	Intrapleuralt
BWZJ0	Peroralt
BWZJ1	Rektalt
BWZJ2	Gastrointestinal installation
BWZJ3	Intraperitonealt
BWZK0	Uretralt
BWZK1	Intravesikalt
BWZL0	Vaginalt
BWZL1	Intrauterint
BWZL2	Endocervikalt
BWZL3	Intraamnionalt
BWZL4	Intracervikalt
BWZL5	Ekstraamnionalt
BWZM0	Intramuskulært
BWZM1	Intraartikulært
BWZM2	Periartikulært
BWZM3	Intrabursalt
BWZM4	Intradiskalt
BWZM5	Intrasternalt
BWZN0	Intravenøst
BWZN1	Intraarterielt
BWZN2	Intralymfatisk
BWZQ0	Kutant
BWZQ1	Intrakutant
BWZQ2	Subkutant
BWZQ3	Transdermalt
BWZQ4	Subkutant depot
BWZX0	Intrakavernalt
BWZX1	Intralæsionalt
BZ	Tillægskoder
EVV0	normalvægtig
EVV1	undervægtig
EVV2	overvægtig
EZA	ASA funktionsniveau
EZA1	ASA funktionsniveau, ASA 1
EZA2	ASA funktionsniveau, ASA 2
EZA3	ASA funktionsniveau, ASA 3
EZA4	ASA funktionsniveau, ASA 4
EZA5	ASA funktionsniveau, ASA 5
EZA6	ASA funktionsniveau, ASA 6
EZZ	Specifikation til ventepatient
EZZ00	venstre hovedstammesygdom påvist ved KAG
EZZ01	angina pectoris-smerter umiddelb. eft. akut myokardieinfarkt
EZZ09	ventepatient
NAA	Anæstesiprocedurer
NAAA	Overvågning
NAAB	Sedation og smertelindring uden bevidsthedstab
NAAC	Generel anæstesi
NAAC0	Generel anæstesi alene ved inhalation
NAAC1	Generel i.v. anæstesi
NAAC10	Generel i.v. anæstesi uden N2O
NAAC11	Generel i.v. anæstesi suppleret med N2O
NAAC3	Generel anæstesi, kombineret i.v.- og inhalations-anæstesi
NAAC4	Generel anæstesi m. midler givet rektalt el. intramuskulært
NAAC5	Generel anæstesi kombineret med regional anæstesi
NAAD	Regional anæstesi
NAAD0	Epidural blokade
NAAD00	Cervikal blokade
NAAD01	Torakal epidural blokade
NAAD02	Lumbal epidural blokade
NAAD03	Sakral epidural blokade
NAAD1	Spinal blokade
NAAD10	Torakal spinal blokade
NAAD11	Lumbal spinal blokade
NAAD2	Kombineret epidural og spinal blokade
NAAD20	Torakal kombineret epidural og spinal blokade
NAAD21	Lumbal kombineret epidural og spinal blokade
NAAD3	Plexusblokade
NAAD30	Skalenerblokade
NAAD31	Supraklavikulær blokade
NAAD32	Aksilblokade
NAAD4	Enkelt nerve blokade
NAAD40	Femoralisblokade
NAAD41	Ischiadicusblokade
NAAD42	Obturatoriusblokade
NAAD43	Pudendusblokade
NAAD44	Medianusblokade
NAAD45	Radialisblokade
NAAD46	Ulnarisblokade
NAAD5	Andre blokader, regional anæstesi
NAAD51	Vaskulær blokade
NAAD52	Infiltrationsanæstesi
NAAD53	Paracervikal blokade
NAAD54	Fodledsblokade
NAAD55	Blokade ved herniotomia inguinalis
NAB	Proc. ved int. terapi, postopr. beh. og akutte livstr. tlst.
NABA	Postoperativ behandling
NABB	Intensiv terapi
NABS	Anæstesiologisk assistance ved akutte tilstande
NABS0	Assistance ved livstruende tilstande
NABS1	Assistance til nyfødt
NABS2	Assistance ved transport
NABS20	Assistance ved intern transport
NABS21	Assistance ved ambulancetransport
NABS3	Assistance på skadested
NABS4	Akut skadebehandling indledende/koordinerende
NAXA	Andre anæstesiologiske procedurer
NAXA99	Anæstesiprocedure uden specifikation
YAKA	Århus KH, DMARD-projekt med afprøvning af B-klass.
YAKA0	Standardvejledning for DMARD-behandling
YAKA00	Instruktion i hensigtsmæssig påklædning
YAKA1	Standardplejeplan for smerter
YAKA10	Vurdering af smerteårsager
YAKA11	Rådgivning om varme/kulde påvirkning ved smerter
YAKA12	Vejledning vedrørende aflastning ved smerter
YAKA13	Vejledning i afspændingsøvelser ved smerter
YAKA2	Standardplejeplan for træthed
YAKA20	Vurdering af træthedsårsager
YAKA21	Udfyldelse af træthedshjul
YAKA22	Rådgivning vedrørende den gode nattesøvn
YAKB	Randers, distriksterapeuter, afprøvning af B-klass.
YAKB0	Vejledning af plejepersonale
YAKB1	Vejledning af pårørende
YAKB2	Administrativt arbejde
YAKC	Roskilde/Køge, fys/ergo-afprøvning af B-klass.
YAKC0	Observation, test, vurdering, cognitiv undersøgelse
YAKC1	Undersøgelse
YAKC2	Dokumentation af intervention i relation til patient
YAKC3	Faglig forberedelse til intervention
YAKC4	Faglig opfølgning på intervention
YAKC5	Opsætning af behandlingsudstyr ved respirationslidelse
YAKC6	Tværfaglig gruppeundervisning
YAKC60	Tværfaglig gruppeundervisning ved ryglidelse
YAKC61	Tværfaglig gruppeundervisning ved gigtlidelse
YAKC62	Tværfaglig gruppeundervisning ved apoplexi
ZKC	Cancerrelateret operation
ZPP	Aflyst/afbrudt procedure
ZPP00	Ingen procedure
ZPP10	Procedure aflyst pga. patientens tilstand
ZPP10A	Proc. aflyst pga. pt. tilstand, samme dag som planlagt
ZPP10B	Proc. aflyst pga. pt. tilstand, ét døgn før fastlagt dato
ZPP10C	Proc. aflyst pga. pt. tilstand, 2-7 døgn før fastlagt dato
ZPP10D	Proc. aflyst pga. pt. tilstand, 8-31 døgn før fastl.dato
ZPP10E	Proc. aflyst pga. pt. tilstand, > 32 døgn før fastlagt dato
ZPP10F	Procedure aflyst, patienten er død
ZPP10G	Procedure aflyst pga. patientens forværrede tilstand
ZPP10H	Procedure aflyst pga. manglende indikation
ZPP12	Procedure aflyst efter patientens ønske
ZPP12A1	Proc. aflyst e. pt. ønske, samme dag som planlagt,med ny tid
ZPP12A2	Proc. aflyst e. pt. ønske, samme dag som planlagt, u. ny tid
ZPP12B1	Proc. aflyst e. pt. ønske, ét døgn før fastl.dato,med ny tid
ZPP12B2	Proc. aflyst e. pt. ønske, ét døgn før fastl.dato, u. ny tid
ZPP12C1	Proc. aflyst e. pt. ønske,2-7 døgn før fastl.dato,med ny tid
ZPP12C2	Proc. aflyst e. pt. ønske, 2-7 døgn før fastl.dato,u. ny tid
ZPP12D1	Proc.aflyst e. pt. ønske,8-31 døgn før fastl.dato,med ny tid
ZPP12D2	Proc.aflyst e. pt. ønske, 8-31 døgn før fastl.dato,u. ny tid
ZPP12E1	Proc. aflyst e. pt. ønske,>32 døgn f. fastl.dato, med ny tid
ZPP12E2	Proc. aflyst e. pt. ønske, >32 døgn f. fastl.dato, u. ny tid
ZPP13	Procedure aflyst pga. udeblivelse
ZPP13A	Procedure aflyst pga. udeblivelse, samme dag som planlagt
ZPP13B	Procedure aflyst pga. udeblivelse, ét døgn før fastlagt dato
ZPP13C	Procedure aflyst pga. udeblivelse,2-7 døgn før fastlagt dato
ZPP20	Procedure aflyst af personalemæssige årsager
ZPP20A	Proc. aflyst af personalemæss.årsager,samme dag som planlagt
ZPP20B	Proc. aflyst af personalemæss. årsager,1 døgn før fastl.dato
ZPP20C	Proc.aflyst af personalemæss.årsager,2-7 døgn før fastl.dato
ZPP20D	Proc.aflyst af personalemæs.årsager,8-31 døgn før fastl.dato
ZPP20E	Proc. aflyst af pers.mæss.årsager, >32 døgn f. fastlagt dato
ZPP21	Procedure aflyst pga. tekniske problemer
ZPP21A	Proc. aflyst pga. tekniske probl., samme dag som planlagt
ZPP21B	Proc. aflyst pga. tekniske probl., ét døgn før fastlagt dato
ZPP21C	Proc. aflyst pga. tekniske probl.,2-7 døgn før fastlagt dato
ZPP21D	Proc. aflyst pga.tekniske probl.,8-31 døgn før fastlagt dato
ZPP21E	Proc. aflyst pga. tekn. problemer,>32 døgn før fastlagt dato
ZPP22	Procedure aflyst pga. arbejdsnedlæggelse
ZPP22A	Procedure aflyst pga. arbejdsnedlæggelse, samme dag som plan
ZPP22B	Procedure aflyst pga. arbejdsnedlæggelse, ét døgn før fastla
ZPP22C	Procedure aflyst pga. arbejdsnedlæggelse, 2-7 døgn før fastl
ZPP22D	Proc. aflyst pga. arbejdsnedlæggelse, 8-31 døgn før fastlagt
ZPP22E	Proc. aflyst pga. arbejdsnedlæg., mere end 32 døgn før fastl
ZPP40	Procedure aflyst pga. akut patient
ZPP40S	Procedure aflyst pga. omprioritering af programmet
ZPP40T	Procedure aflyst, da andre procedurer trækker ud
ZPP50	Procedure aflyst pga. andre årsager, samme dag som planlagt
ZPP6	Procedure afbrudt
ZPP60	Procedure afbrudt pga. patientens peroperative tilstand
ZPP62	Procedure afbrudt pga. tekniske problemer med udstyr
ZPP64	Procedure afbrudt pga. operationstekniske årsager
ZPP65	Procedure afbrudt pga. anæstesitekniske årsager
ZPP66	Procedure afbrudt efter patientens ønske
ZPP68	Procedure afbrudt pga. andre årsager
ZPP68P	Procedure afbrudt af personalemæssige årsager
ZPP69	Procedure afbrudt pga. uspecificerede årsager
ZWCM0	Alternativ cancerbehandling
ZWCM8	Besluttet ingen behandling
ZWCM9	Patienten ønsker ikke udredning/behandling
ZZ0011	Myokardieskintigrafi, dobbeltundersøgelse
ZZ0050	PET-skanning
ZZ0060	Hjerne SPECT-undersøgelse
ZZ0080	Leukocytskintigrafi
ZZ0100	Isotopkardiografi
ZZ0200	Udskrivningskonference
ZZ0201	Samarbejde med primærsektoren
ZZ0202	Observation af patient efter undersøgelse/behandling
ZZ0203	Generel assistance  ved undersøgelse/behandling
ZZ1001	Aspiratio cytologica oesophagi endoscopica
ZZ1002	Aspiratio succus oesophagi endoscopica
ZZ1005	Investigatio dynamica oesophagi endoscopica
ZZ1006	Oesofagus-manometri
ZZ1007	pH-måling i oesofagus
ZZ1008	Oesofagus-manometri, døgnmåling
ZZ1010	Ventrikelskylning
ZZ1011	Aspiratio cytologica ventriculi endoscopica
ZZ1012	Aspiratio succus ventriculi endoscopica
ZZ1013	Investigatio dynamica ventriculi et pylori
ZZ1021	Aspiratio cytologica duodeni endoscopica
ZZ1022	Aspiratio succus duodeni endoscopica
ZZ1023	Investigatio dynamica duodeni
ZZ1049	Børstecytologisk undersøgelse i galdeveje, endoskopisk
ZZ1050	Aspiratio succus viarum biliarum endoscopica
ZZ1051	Aspiratio cytologica choledochi endoscopica
ZZ1052	Aspiratio percutanea cytologica choledochi
ZZ1053	Investigatio dynamica musculi sphinct. Oddi endoscopica
ZZ1054	Invest. dynamica m. sphinct. Oddi endoscopica, galdeveje
ZZ1055	Invest. dynamica m. sphinct. Oddi endoscopica, pankreasgang
ZZ1061	Aspiratio cytologica jejuni endoscopica
ZZ1063	Aspiratio succus jejuni endoscopica
ZZ1064	Investigatio dynamica jejuni
ZZ1067	Aspiratio cytologica ilei endoscopica
ZZ1068	Aspiratio succus ilei endoscopica
ZZ1071	Aspiratio cytologica coli endoscopica
ZZ1075	Aspiratio succus coli endoscopica
ZZ1081	Aspiratio cytologica sigmoidei endoscopica
ZZ1085	Aspiratio succus sigmoidei endoscopica
ZZ1091	Aspiratio cytologica recti endoscopica
ZZ1095	Aspiratio succus recti endoscopica
ZZ1101	Aspiratio cytologica ani endoscopica
ZZ1102	Analprofilometri
ZZ1103	Proctometri
ZZ1104	Anorektal manometri
ZZ1105	Aspiratio succus ani endoscopica
ZZ1110	Rektal eksploration
ZZ1120	Aspiratio succus pancreaticus endoscopica
ZZ1121	Aspiratio cytologica ductus pancreatici endoscopica
ZZ1122	Børstecytologisk undersøgelse i pankreasgang, endoskopisk
ZZ1230	Investigatio dynamica pelvis renis
ZZ1240	Investigatio dynamica ureteris
ZZ1250	Cystometria
ZZ1260	Investigatio statica urethrae (uretral trykprofilunders.)
ZZ1261	Investigatio dynamica urethrae
ZZ1280	Uroflowmetri
ZZ1281	Udtagelse af urin til dyrkning og resistens
ZZ1290	Investigatio mictionis (tryk, flow, EMG)
ZZ1291	Residualurin måling
ZZ1294	Blevejningstest
ZZ1310	Electromyographia sphincteris urethrae
ZZ1311	Electromyographia sphincteris ani
ZZ1370	Investigatio innervationis vesicae urinariae
ZZ1450	Hjernestammeaudiometri
ZZ1460	Elektrocochleografi
ZZ1500	Demensudredning
ZZ2001	Kontrolundersøgelse, diabetes, almindelig
ZZ2002	Kontrolundersøgelse, diabetes, udvidet
ZZ2003	Kontrolundersøgelse, diabetes, årskontrol
ZZ2100	Mantoux' prøve
ZZ2675	Gradientmåling
ZZ2687	Kardiotokografi
ZZ2690	Kardiologisk undersøgelse
ZZ2692	His-undersøgelse, lille
ZZ2693	His-undersøgelse, stor
ZZ2700	Cardiologisk elektrofysiologisk undersøgelse
ZZ3150	Arterietrykmåling
ZZ3160	Blodtryksmåling
ZZ3180	Døgn-blodtryksmåling
ZZ3190	Måling af centralt venetryk
ZZ3500	Exploratio s. examinatio in narcosi
ZZ3910	Søvnmonitorering uden CPAP-maske
ZZ3911	Søvnmonitorering med CPAP-maske
ZZ3925	EKG
ZZ3926	Øsofagus-EKG
ZZ3930	Arbejds-EKG
ZZ3931	Arbejds-EKG med iltmåling
ZZ3935	Hyperventilationstest
ZZ4020	EKG-monitorering ad modum Holter
ZZ4030	Anvendelse af kardiel eventrecorder
ZZ4050	Pacemakerkontrol
ZZ4125	Undersøgelse af næse og næsehule
ZZ4128	Bodypletysmografi
ZZ4129	Transferfaktorbestemmelse
ZZ4130	Lungefunktionsundersøgelse
ZZ4130A	Spirometri
ZZ4131	Reversibilitetsundersøgelse
ZZ4133	Metakolin-test
ZZ4136	Trykmåling af CPAP
ZZ4137	Pulsoxymetri
ZZ4138	Peak flow monitorering
ZZ4170	Bronkoalveolær lavage
ZZ4180	Cytologia portionis uteri (smear)
ZZ4190	Gynækologisk undersøgelse
ZZ4195	Gynækologisk undersøgelse i universel anæstesi
ZZ4205	Chlamydiapodning fra cervix
ZZ4206	Chlamydiapodning fra urethra
ZZ4223	Cardiotocografi, intra partum kontinuerligt
ZZ4230	Graviditetsbestemmelse, Se-HCG
ZZ4231	Se-AFP bestemmelse
ZZ4233	Cardiotocografi, ante partum
ZZ4234	Cardiotocografi, intra partum diskontinuerligt
ZZ4390	Priktest
ZZ4390A	Penicillinpriktest
ZZ4390B	Lidocainpriktest
ZZ4390C	Carbocainpriktest
ZZ4391	Udvidet priktest
ZZ4392	Provokationstest
ZZ4392A	Histaminprovokation
ZZ4392B	Penicillinprovokation
ZZ4392C	Lidocainprovokation
ZZ4392D	Carbocainprovokation
ZZ4392E	Provokation med anden medicin
ZZ4392F	Anstrengelsesprovokation
ZZ4392G	Peroral provokation med farvestoffer og konserveringsmidler
ZZ4392H	Øjenprovokation
ZZ4396	Intracutantest
ZZ4396A	Intracutantest, penicillin
ZZ4396B	Intracutantest, lidocain
ZZ4396C	Intracutantest, carbocain
ZZ4600	Cavernosometri
ZZ5000	Neuropsykologisk undersøgelse
ZZ5001	AMA-test
ZZ5002	Auditiv spændvidde
ZZ5003	Boston naming test
ZZ5004	Delvist overlappende genstande
ZZ5005	Exner
ZZ5006	Hooper
ZZ5007	Kasanin-Hanfmann
ZZ5008	Kontinuerlig subtraktion
ZZ5009	Mattis demential rating scale (MDRS)
ZZ5010	Moony-fragmenterede billeder
ZZ5011	Oplæste tekster
ZZ5012	Osterrieth
ZZ5013	Raven advanced
ZZ5014	Reading and writing skills
ZZ5015	Rey-figurer
ZZ5016	Rorscharch
ZZ5017	SDMT
ZZ5018	Selective reminding test
ZZ5019	Sentence repetition
ZZ5020	Simpel udstregningsprøve
ZZ5021	Sorting test
ZZ5022	Standard deviationer
ZZ5023	Story recall
ZZ5024	Trail Making A og B
ZZ5025	Warrington recognition tests
ZZ5026	Wais
ZZ5027	WISC
ZZ5028	Visuelle gestalter
ZZ5029	WMS Boston revision
ZZ5030	3 placerede genstande
ZZ5031	10 ordpar/10 word-pair learning test
ZZ5200	Undersøgelse af hud
ZZ5210	Undersøgelse af hud mhp. laserbehandling
ZZ7000	Synsfeltundersøgelse (perimetri)
ZZ7010	Foto af øjenbund
ZZ7015	Spaltefoto
ZZ7020	Klinisk øjenundersøgelse i universel anæstesi
ZZ7030	Elektrofysiologisk øjenundersøgelse
ZZ7045	Øjenundersøgelse, simpel inkl. med anv. af lokalanæst/farve
ZZ7049	Kontrolundersøgelse, oftalmologisk
ZZ7050	Øjenundersøgelse, anden
ZZ7090	Undersøgelse af ydre øre og trommehinde
ZZ9010	Medikamentel behandling, kontrol af
ZZ9050	Test med farmaka
ZZ9950	Forundersøgelse
ZZ9951	Førstegangsundersøgelse
ZZ9990	Undersøgelse uden specifikation
ZZV000	Vurdering af prøvesvar
