OPR	OPRNAVN
KFXJ96	PABP, fjernelse af
KFXK	Indlæggelse og brug af ekstra-/para-/intrakorporal VAD
KFXK96	VAD, indlæggelse og brug af ekstra-/para-/intrakorporal
KFXL	Fjernelse af ekstra-/para-/intrakorporal VAD
KFXL96	VAD, fjernelse af ekstra-/para-/intrakorporal
KFXM	Procedurer ved anvendelse af TAH
KFXM96	TAH, procedure ved anvendelse af
KFXN	Hemofiltration el. hemodialyse under cardio-pulmonal bypass
KFXN96	Hemofiltration eller hemodialyse under cardio-pulm. by-pass
KG	Op. på brystvæg, pleura, mediastinum, diafragma, trachea, br
KGA	Operationer på brystvæg, pleura og diafragma
KGAA	Drænage og endoskopi af pleurahulen
KGAA10	Anlæggelse af pleuradræn
KGAA15	Indlæggelse af pleuradræn med costaresektion
KGAA20	Pleurostomi
KGAA31	Thoracoskopi
KGAA96	Drænage af pleurahule, anden åben eller perkutan
KGAA97	Drænage af pleurahule, anden endoskopisk perkutan
KGAB	Thoracotomi
KGAB00	Nødthoracotomi
KGAB10	Thoracotomia (antero/postero-lateralt)
KGAB13	Thoracotomia, transaxillær
KGAB20	Thoracotomia, gennem sternotomi
KGAB99	Thoracotomi, anden
KGAC	Operationer på pleura
KGAC00	Excisio probatoria pleurae
KGAC01	Excisio probatoria pleurae endoscopica percutanea
KGAC10	Amotio corporis alieni pleurae
KGAC11	Amotio corporis alieni pleurae endoscopica percutanea
KGAC20	Excisio/destructio tumoris pleurae
KGAC21	Excisio/destructio tumoris pleurae endoscopica percutanea
KGAC30	Pneumothorax artificialis
KGAC33	Pleurodesis mechanica
KGAC34	Pleurodesis mechanica endoscopica percutanea
KGAC36	Pleurodesis chemica
KGAC37	Pleurodesis chemica endoscopica percutanea
KGAC40	Pleurodesis et pleurectomia
KGAC41	Pleurodesis et pleurectomia endoscopica percutanea
KGAC43	Pleurectomia totalis
KGAC44	Pleurectomia totalis endoscopica percutanea
KGAC46	Pleurectomia partialis
KGAC47	Pleurectomia partialis endoscopica percutanea
KGAC50	Decorticatio pulmonis
KGAC96	Operation på pleura, anden åben
KGAC97	Operation på pleura, anden, endoskopisk
KGAC98	Operation på pleura gennem pleurokutant vindue, anden
KGAD	Thoracoplastikoperationer
KGAD00	Thoracoplastik
KGAD05	Thoracoplastik med plombage
KGAD10	Fjernelse af intrathoracal plombage
KGAD99	Thoracoplastikoperation, anden
KGAE	Incision, resektion, revision og rekonstruktion af brystvæg
KGAE00	Incisio parietis thoracis
KGAE03	Sutura parietis thoracis
KGAE06	Excisio tumoris parietis thoracis
KGAE13	Occlusio pleurostomia
KGAE16	Resectio parietis thoracis
KGAE20	Resectio parietis thoracis med muskel/hudplastik
KGAE23	Resectio parietis thoracis med implantat/protese
KGAE26	Sutur af læsion på brystvæg
KGAE30	Operation for læsion på både brystvæg og diafragma
KGAE40	Op. på ribben og bløddele ved 'thoracic outlet syndrome'
KGAE50	Rekonstruktion af brystvæg
KGAE70	Pseudoartrose-operation, brystvæg
KGAE73	Pseudoartrose-operat. m. knogletransplantation, brystvæg
KGAE90	Fjernelse af osteosyntesemateriale, brystvæg
KGAE99	Incision, resekt, revision og rekonstr. af brystvæg, anden
KGAF	Rekonstruktive op. ved anomalier og misdannelser af thorax
KGAF00	Korrektion af pectus carinatum
KGAF03	Korrektion af pectus excavatum
KGAF10	Fjernelse af implantat, thoraxvæg eft op. for anomali/defek
KGAF99	Rekonstruktiv op. v anomalier/misdannelser af thorax, anden
KGAG	Transthorakale og endoskopiske operationer på diafragma
KGAG00	Biopsi af diafragma, transthorakal
KGAG01	Biopsi af diafragma, endoskopisk
KGAG10	Excision af tumor i diafragma, transthorakal
KGAG11	Excision af tumor i diafragma, endoskopisk
KGAG20	Amotio corporis alieni diafragmae transthoracalis
KGAG21	Fjernelse af fremmedlegeme i diafragma, endoskopisk
KGAG30	Operatio læsio diafragmatis transthoracalis
KGAG33	Resectio diafragmae transthoracalis
KGAG36	Resektion/rekonstr. af diafragma med transplantat, transtho
KGAG40	Occlusio fistula thoraco-abdominalis transthoracalis
KGAG50	Rekonstruktiv operation for diafragmadefekt, transthorakal
KGAG96	Operation på diafragma, anden, transthorakal
KGAG97	Operation på diafragma, anden endoskopisk
KGAW	Andre åbne/endoskopiske op. på brystvæg, pleura og diafragm
KGAW96	Operation på brystvæg, pleura og diafragma, anden åben
KGAW97	Op. på brystvæg, pleura og diafragma, anden endoskopisk
KGB	Oprationer på trachea
KGBA	Tracheotomi og rekonstruktive operationer på trachea
KGBA00	Tracheotomia
KGBA10	Tracheotomi med fjernelse af fremmedlegeme
KGBA12	Amotio corporis alieni tracheae endoscopica
KGBA22	Excisio tumoris tracheae endoscopica
KGBA25	Elektrocoagulatio tumoris tracheae endoscopica
KGBA28	Laserterapi af trachealtumor, endoskopisk
KGBA32	Dilatatio tracheae endoscopica
KGBA40	Sutura tracheae
KGBA46	Tracheoplastik
KGBA50	Reconstructio tracheae, uden protese
KGBA53	Reconstructio tracheae, med protese
KGBA96	Tracheotomi og rekonstruktiv operation på trachea, anden
KGBA98	Operation, anden endotracheal
KGBB	Tracheostomi og tilhørende operationer
KGBB00	Tracheostomi
KGBB00A	Dilatationstracheostomi
KGBB13	Revisio tracheostomiae
KGBB18	Lukning af tracheostomi
KGBB99	Tracheostomi, anden
KGBC	Resektion og rekonstruktion af trachea
KGBC00	Resectio tracheae
KGBC06	Resectio et reconstructio tracheae med protese
KGBC10	Resectio et reconstructio carinae
KGBC13	Resektion og rekonstruktion af carina, med implantat
KGBC15	Resektion og sutur af trachea
KGBC99	Resektion og rekonstruktion af trachea, anden
KGBW	Andre operationer på trachea
KGBW96	Operation på trachea, anden
KGBW98	Operation på trachea, anden transluminal
KGC	Operationer på bronchier
KGCA	Operationer på bronchier
KGCA02	Elektrokoagulation af tumor i bronchier, endoskopisk
KGCA05	Laserterapi af tumor i bronchier, endoskopisk
KGCA06	Excision af tumor i bronchier
KGCA08	Excision af tumor i bronchier, endoskopisk
KGCA10	Incisio bronchi cum amotio corporis alieni
KGCA12	Ekstraktion af fremmedlegeme, endoskopisk
KGCA15	Nedlæggelse af bronkial stent, endoskopisk
KGCA18	Dilatatio bronchialis endoscopica
KGCA20	Sutura et reconstructio læsionis bronchii
KGCA26	Operatio bronchoplastica
KGCA30	Operatio bronchoplastica cum protesis
KGCA40	Occlusio fistula bronchopleuralis
KGCA42	Occlusio fistula bronchopleuralis endoscopica
KGCA50	Resectio bronchii
KGCA60	Resectio bronchii med end-to-end anastomose
KGCA70	Resectio et reconstructio bronchii cum protesis
KGCA96	Operation på bronchier, anden
KGCA97	Operation på bronchi, anden endoskopisk
KGD	Operationer på lunger
KGDA	Biopsi, incision og sutur af lunge
KGDA00	Incisio pulmonis, inkl. drænage
KGDA01	Incisio pulmonis endoscopica percutanea, inkl. drænage
KGDA10	Excisio probatoria pulmonis
KGDA11	Biopsia pulmonis endoscopica percutanea
KGDA12	Biopsia pulmonis endoscopica
KGDA20	Excisio tumoris pulmonis
KGDA21	Excisio tumoris pulmonis thoracoscopica
KGDA30	Pneumotomia et extractio corporis alieni
KGDA31	Pneumotomia et extractio corp. alieni endoscopica percutane
KGDA40	Revisio et sutura læsio pulmonis
KGDA41	Revisio et sutura læsio pulmonis endoscopica percutanea
KGDA96	Biopsi, incision og sutur af lunger, anden
KGDA97	Biopsi, incision, sutur på lunge, anden endoskopisk perkuta
KGDB	Lungeresektioner
KGDB00	Resectio bullae pulmonis
KGDB01	Resectio bullae pulmonis endoscopica percutanea
KGDB10	Resectio pulmonis
KGDB11	Resectio pulmonis endoscopica percutanea
KGDB20	Resectio pulmonis segmentalis
KGDB21	Resectio pulmonis segmentalis endoscopica percutanea
KGDB30	Resectio pulmonis, volumenreduktion
KGDB31	Resectio pulmonis endoscopica percutanea, volumenreduktion
KGDB96	Lungeresektion, anden
KGDB97	Lungeresektion, anden endoskopisk perkutan
KGDC	Lobectomia pulmonis
KGDC00	Lobectomia pulmonis
KGDC01	Lobectomia pulmonis endoscopica percutanea
KGDC10	Bi-lobectomia pulmonis
KGDC15	Bi-lobectomia pulmonis endoscopica percutanea
KGDC20	"Lobectomia pulmonis med ""sleeve""-resektion"
KGDC23	Lobectomia pulmonis med segmentresektion
KGDC26	Lobectomia pulmonis cum resectione pulmonis
KGDC96	Lobektomi-operation på lunge, anden
KGDC97	Lobektomi-operation på lunge, anden endoskopisk perkutan
KGDD	Pneumonectomia
KGDD00	Pneumonectomia
KGDD01	Pneumonectomia endoscopica percutanea
KGDD10	Pleuropneumonectomia
KGDD11	Pleuropneumonectomia endoscopica percutanea
KGDD20	Pneumonektomi, udvidet
KGDD23	Pneumonektomi og resektion af carina
KGDD26	Pneumonektomi og resektion af bronchus eller trachea
KGDD96	Pneumonektomioperation, anden
KGDD97	Pneumonektomi, anden endoskopisk perkutan
KGDG	Lungetransplantationer
KGDG00	Lungetransplantation, ensidig
KGDG03	Lungetransplant, ensidig m. revasc. af bronchialarterier
KGDG10	Lungetransplantation, dobbeltsidig
KGDG13	Lungetransplantation en-bloc m. revasc. af bronchialarterie
KGDG30	Lungetransplantation fra levende donor
KGDG99	Lungetransplantation, anden
KGDW	Andre operationer på lunger
KGDW96	Operation på lunger, anden
KGDW97	Operation på lunger, anden endoskopisk perkutan
KGDW98	Operation på lunger, anden endoskopisk transluminal
KGE	Operationer på mediastinum
KGEA	Mediastinoskopi
KGEA00	Mediastinoskopi, inkl. drænage
KGEA10	Mediastinoskopi med ekstraktion af fremmedlegeme
KGEA20	Mediastinoskopi med excision af tumor
KGEA99	Mediastinoskopioperation, andet
KGEB	Mediastinotomi
KGEB10	Mediastinotomia, inkl. drænage
KGEB20	Mediastinotomi med fjernelse af fremmedlegeme
KGEB30	Mediastinotomi med excision af tumor
KGEB40	Mediastinotomi og udvidet excision
KGEB99	Mediastinotomioperation, anden
KGEC	Operationer på thymus
KGEC00	Excisio probatoria thymii
KGEC03	Excisio probatoria thymii endoscopica percutanea
KGEC10	Resectio thymii, transcervicalis
KGEC13	Resectio thymii, transsternalis
KGEC16	Resectio thymii endoscopica percutanea
KGEC20	Thymectomia transcervicalis
KGEC23	Thymectomia transsternalis
KGEC26	Thymectomia endoscopica percutanea
KGEC96	Operation på thymus, anden
KGEC97	Operation på thymus, anden endoskopisk
KGEW	Andre operationer på mediastinum
KGEW99	Operation på mediastinum, anden
KGW	Reopr. for postopr. kompl. efter opr. på brystvæg, pleura, m
KGWA	Sutur ved sårruptur efter thoraxkirurgisk operation
KGWA00	Sutur ved sårruptur efter operation i thorax
KGWB	Reop.for overflad.sårinfektion eft. thoraxkirurgisk operat.
KGWB00	Reoperation for overfladisk sårinfektion efter op. i thorax
KGWC	Reoperation for dyb infektion eft. thoraxkirurgisk operatio
KGWC00	Reoperation for dyb infektion efter operation i thorax
KGWC01	Reop. for infektion efter op. i thorax, perkutan endoskopis
KGWD	Reoperat. for overfladisk blødning eft. thoraxkirurgisk op.
KGWD00	Reoperation for overfladisk blødning efter op. i thorax
KGWE	Reoperation for dyb blødning efter thoraxkirurgisk operatio
KGWE00	Reoperation for dyb blødning efter operation i thorax
KGWE01	Reop. for blødning efter op. i thorax, perkutan endoskopisk
KGWF	Reop. for sutur/anastomoseinsuffic. eft. thoraxkirurgisk op
KGWF00	Reop. for sut/anastomoseinsufficiens eft operation i thorax
KGWF01	Reop. for sut/anast.insuff eft op. i thorax, perkutan endos
KGWW	Anden reoperation efter thoraxkirurgisk operation
KGWW96	Reoperation efter operation i thorax, anden
KGWW97	Reop. efter operation i thorax, anden perkutan endoskopisk
KGWW98	Reop. efter op. i thorax, anden transluminal endoskopisk
KH	Operationer på mammae
KHA	Operationer på mammae
KHAA	Biopsi, sutur og incision af mammae
KHAA00	Incisio mammae
KHAA01	Sutura mammae
KHAA10	Excisio probatoria mammae
KHAB	Resektion af mammae
KHAB00	Excisio tumoris mammae
KHAB00A	Excisio tumoris mammae, med nålemarkering
KHAB10	Mikroductektomi af mammae
KHAB20	Excision af ductus lactiferus
KHAB30	Excisio areola/papilla mammae
KHAB40	Resectio segmentalis mammae
KHAB99	Resektion af mammae, anden
KHAC	Mastektomi
KHAC10	Mastectomia subcutanea med bevarelse af papillae mammae
KHAC15	Mastectomia subcutanea inkl. excision af papillae mammae
KHAC20	Mastektomi, total
KHAC25	Mastektomi, radikal
KHAC30	Excision af abberrant brystkirtel
KHAC99	Mastektomi, anden
KHAD	Korrigerende operationer på mammae
KHAD00	Augmentatio mammae
KHAD10	Augmentatio mammae med protese
KHAD20	Liposuctio mammae
KHAD30	Reductio mammae cum transpositione areolae
KHAD35	Reductio mammae cum transplantatione areolae
KHAD40	Operatio pro ptosi mammae
KHAD45	Operatio pro inversione papillae mammae
KHAD50	Amotio prostheseos mammae
KHAD55	Incisio capsulae periprostheticae mammae
KHAD60	Udskiftning af brystimplantat
KHAD99	Korrigerende  operation på mammae, anden
KHAE	Rekonstruktion af mammae
KHAE00	Rekonstruktion af mamma med protese
KHAE05	Rekonstruktion af mamma med bløddele og protese
KHAE10	Rekonstruktion af mamma med graft eller lap
KHAE20	Rekonstr. af areola/papilla mammae m lap/hudtransplantat
KHAE99	Rekonstruktion af mammae, anden
KHAF	Operationer ved lokalrecidiv af mammacancer
KHAF00	Excision af mammacancerrecidiv, lokal
KHAF10	Rekonstr. eft excision af mammacancerrecidiv m hudtransplan
KHAF20	Rekonstruktion eft excision af mammacancerrecidiv m protese
KHAF99	Operation, lokalrecidiv af mammacancer, anden
KHW	Reoperationer ved operationer på mammae
KHWA	Sutur af sårruptur efter mammaoperation
KHWA00	Sutur af sårruptur efter mammaoperation
KHWB	Reop. for overfladisk sårinfektion efter mammaoperation
KHWB00	Reoperation, overfladisk sårinfektion efter mammaoperation
KHWC	Reoperation for dyb infektion efter mammaoperation
KHWC00	Reoperation, dyb infektion efter mammaoperation
KHWD	Reoperation for overfladisk blødning efter mammaoperation
KHWD00	Reoperation, overfladisk blødning efter mammaoperation
KHWE	Reoperation for dyb blødning efter mammaoperation
KHWE00	Reoperation, dyb blødning efter mammaoperation
KHWF	Reop. for anastomosesuturinsufficiens efter mammaoperation
KHWF00	Reoperation, anastomosesuturinsuff. efter mammaoperation
KHWW	Anden reoperation efter mammaoperation
KHWW99	Reoperation efter mammaoperation, anden
KJ	Operationer på fordøjelsesorganer og milt
KJA	Operationer på bugvæg, peritoneum, mesenterium og oment
KJAA	Lokale operationer på bugvæggen
KJAA00	Incisio parietis abdominis
KJAA00A	Drænage af peritonealhule, perkutan
KJAA10	Excision af tumor i bugvæg
KJAA11	Excisio probatoria parietis abdominis laparoscopica
KJAA96	Operation på bugvæg, anden lokal
KJAA97	Operation på bugvæg, anden laparoskopisk lokal
KJAB	Operationer for hernia inguinalis
KJAB00	Herniotomia ingvinalis
KJAB10	Herniotomia inguinalis med plastik
KJAB11	Herniotomia ingvinalis laparoscopica
KJAB20	Herniotomia ingvinalis cum transplantatione fasciae
KJAB30	Herniotomia ingvinalis cum implantatione protheseos
KJAB40	Laparotomi med bugvægsplastik ved inguinalt hernie
KJAB96	Herniotomia inguinalis aliae
KJAB97	Herniotomia inguinalis aliae laparoscopica
KJAC	Operationer for hernia femoralis
KJAC10	Herniotomia femoralis
KJAC11	Herniotomia femoralis laparoscopica
KJAC30	Herniotomia femoralis med protese
KJAC40	Herniotomia femoralis med bugvægsplastik
KJAC96	Herniotomia femoralis aliae
KJAC97	Herniotomia femoralis aliae laparoscopica
KJAD	Operationer for cicatricielle hernier
KJAD10	Herniotomia cicatricialis
KJAD20	Herniotomia cicatricialis cum transplantatione fasciae
KJAD30	Herniotomia cicatricialis cum implantatione protheseos
KJAD96	Herniotomia cicatricialis aliae
KJAD97	Herniotomia cicatricialis laparoscopica
KJAE	Operationer for hernia epigastrica
KJAE10	Herniotomia epigastrica
KJAF	Operationer for hernia umbilicalis
KJAF10	Herniotomia umbilicalis
KJAF20	Herniotomia umbilicalis cum transplantatione fasciae
KJAF30	Herniotomia umbilicalis cum implantatione prostheseos
KJAF96	Herniotomia umbilicalis aliae
KJAF97	Herniotomia umbilicalis laparoscopica
KJAG	Operationer for andre typer brok og bugvægsdefekter
KJAG00	Herniotomia aliae
KJAG01	Herniotomia aliae laparoscopica
KJAG10	Operation for gastroschisis
KJAG20	Operation for omphalocele
KJAG30	Bugvægsrekonstruktion med transplantat
KJAG60	Bugvægsrekonstruktion med protese
KJAG96	Operation for andre typer brok og bugvægsdefekter, anden
KJAH	Laparotomi eller thoracolaparotomi, laparoskopi
KJAH00	Laparotomia explorativa
KJAH01	Laparoscopia
KJAH01A	Laparoskopi med biopsi uden specifikation
KJAH20	Eksplorativ laparotomi m systematiserede lymfeknudebiopsier
KJAH21	Laparoskopi med systematiserede lymfeknudebiopsier
KJAH24	Second look-operation, laparoskopisk
KJAH30	Laparostomia
KJAH33	Laparostomi, åbning af
KJAH40	Thoracolaparotomia explorativa
KJAH96	Laparotomia aliae
KJAJ	Drænage af bækkenabsces til rectum
KJAJ00	Incision og drænage af bækkenabsces per rectum
KJAK	Peritoneal drænage og lavage
KJAK00	Laparotomi og drænage af bughule
KJAK01	Laparoskopisk drænage af bughule
KJAK03	Laparotomi og peritoneal lavage
KJAK04	Laparoskopi og peritoneal lavage
KJAL	Biopsia et excisio peritonei
KJAL00	Excisio probatoria peritonei
KJAL01	Excisio probatoria peritonei laparoscopica
KJAL10	Amotio corporis alieni peritonei
KJAL11	Amotio corporis alieni peritonei laparoscopica
KJAL20	Excisio tumoris peritonei
KJAL21	Excisio tumoris peritonei laparoscopica
KJAL30	Omentectomia
KJAL31	Omentectomia laparoscopica
KJAL96	Excisio tumoris peritonei aliae
KJAL97	Excisio tumoris peritonei aliae laparoscopica
KJAM	Transpositioner af oment og mesenterium
KJAM00	Transpositio omenti
KJAM10	Operatio pro malrotatio intestini
KJAN	Peritovenøse shuntoperationer
KJAN00	Peritovenøs shunt, anlæggelse af
KJAN10	Peritovenøs shunt, revision af
KJAN20	Peritovenøs shunt, fjernelse af
KJAW	Andre operat. på bugvæg, peritoneum, mesenterium og oment
KJAW96	Op. på bugvæg, peritoneum, mesenterium eller oment, anden
KJAW97	Op. på bugvæg, perit, mesent. el oment, anden laparaskopisk
KJB	Opr. på diafragmaregionen og ved gastro-oesophageal reflux
KJBA	Lokale operat. på diafragma ved laparotomi og laparoskopi
KJBA00	Sutura ruptura diafragmatis transabdominalis
KJBA01	Sutura ruptura diafragmatis laparoscopica
KJBA10	Excisio probatoria diafragmatis transabdominalis
KJBA11	Excisio probatoria diafragmatis laparoscopica
KJBB	Operationer ved hernia diafragmatica
KJBB00	Herniotomia paraoesophagealis
KJBB01	Herniotomia paraoesophagealis laparoscopica
KJBB10	Herniotomi ved kongenit diafragmahernie
KJBB11	Herniotomia diafragmatis congenita laparoscopica
KJBB96	Herniotomia diafragmatis (anden type)
