AAA00  Explorativ kraniotomi
GDA41  Torakoskopisk revision och sutur av lungskada
GDA96  Annan incision, lokal exstirpation eller sutur av lunga
GDA97  Annan torakoskopisk incision, lokal exstirpation eller sutur av lunga
GDA98  Annan bronkoskopisk incision, lokal exstirpation av lunga
GDB00  Resektion av bullae
GDB01  Torakoskopisk resektion av bullae
GDB10  Lungresektion
GDB11  Torakoskopisk lungresektion
GDB20  Segmentresektion av lunga
GDB21  Torakoskopisk segmentresektion av lunga
GDB96  Annan lungresektion
GDB97  Annan torakoskopisk lungresektion
GDC00  Lobektomi av lunga
GDC01  Torakoskopisk lobektomi av lunga
GDC10  Bilobektomi av lunga
GDC11  Torakoskopisk bilobektomi av lunga
GDC13  Utvidgad lobektomi eller bilobektomi av lunga
GDC20  Lobektomi av lunga med sleeveresektion
GDC23  Lobektomi av lunga med segmentresektion
GDC26  Lobektomi av lunga med annan resektion
GDC96  Annan lobektomioperation p† lunga
GDC97  Annan torakoskopisk lobektomioperation p† lunga
GDD00  Pneumektomi
GDD01  Torakoskopisk pneumektomi
GDD10  Pleuropneumektomi
GDD11  Torakoskopisk pleuropneumektomi
GDD20  Utvidgad pneumektomi
GDD23  Pneumektomi och resektion av carina
GDD26  Pneumektomi och resektion av bronk eller trakea
GDD96  Annan pneumektomi
GDD97  Annan torakoskopisk pneumektomi
GDG00  Unilateral lungtransplantation
GDG03  Unilateral lungtransplantation med revaskularisering av bronkialart„rer
GDG10  Bilateral lungtransplantation
GDG13  Lungtransplantation en bloc med revaskularisering av bronkialart„rer
GDG30  Lungtransplantation med levande donator
GDG96  Annan lungtransplantation
GDW96  Annan operation p† lungor
GDW97  Annan torakoskopisk operation p† lungor
GDW98  Annan bronkoskopisk operation p† lungor
GEA00  Mediastinoskopi
GEA10  Mediastinoskopi med avl„gsnande av fr„mmande kropp
GEA20  Mediastinoskopi med exstirpation av lokal f”r„ndring
GEA96  Annan mediastinoskopisk operation
GEB10  Mediastinotomi
GEB20  Mediastinotomi med exstirpation av fr„mmande kropp
GEB30  Mediastinotomi med exstirpation av lokal f”r„ndring
GEB40  Mediastinotomi och utvidgad exstirpation
GEB96  Annan operation via mediastinotomi
GEC00  Biopsi av tymus
GEC03  Endoskopisk biopsi av tymus
GEC10  Transcervikal resektion av tymus
GEC13  Transsternal resektion av tymus
GEC16  Endoskopisk resektion av tymus
GEC20  Transcervikal tymektomi
GEC23  Transsternal tymektomi
GEC26  Endoskopisk tymektomi
GEC93  Annan endoskopisk operation p† tymus
GEC96  Annan operation p† tymus
GEW96  Annan operation i mediastinum
GWA00  Reoperation f”r s†rruptur
GWB00  Reoperation f”r ytlig infektion
GWC00  Reoperation f”r djup infektion
GWC01  Perkutan endoskopisk reoperation f”r djup infektion
GWD00  Reoperation f”r ytlig bl”dning
GWE00  Reoperation f”r djup bl”dning
GWE01  Perkutan endoskopisk reoperation f”r djup bl”dning
GWF00  Reoperation f”r anastomos- eller suturinsufficiens
GWF01  Perkutan endoskopisk reoperation f”r anastomos- eller suturinsufficiens
GWW96  Annan reoperation p† br”stv„gg, pleura, mediastinum, diafragma, trakea, bronker eller lungor
GWW97  Annan perkutan endoskopisk reoperation p† br”stv„gg, pleura, mediastinum, diafragma, trakea, bronker eller lungor
GWW98  Annan transluminal endoskopisk reoperation p† br”stv„gg, pleura, mediastinum, diafragma, trakea, bronker eller lungor
HAA00  Incision av br”stk”rtel
HAA01  Sutur av br”stk”rtel
HAA10  Biopsi av br”stk”rtel
HAB00  Exstirpation av f”r„ndring i br”stk”rtel
HAB20  Resektion eller exstirpation av mj”lkg†ng
HAB30  Exstirpation av areola eller mamill
HAB40  Partiell mastektomi
HAB99  Annan resektion av br”stk”rtel
HAC10  Subkutan mastektomi med bevarad mamill
HAC15  Subkutan mastektomi med excision av mamill
HAC20  Mastektomi
HAC22  Modifierad radikal mastektomi
HAC25  Radikal mastektomi
HAC30  Exstirpation av aberrant br”stk”rtel eller mamill
HAC99  Annan mastektomi
HAD00  F”rstoring av br”st
HAD10  F”rstoring av br”st med protes
HAD20  Fettsugning i br”st
HAD30  Reduktion av br”st med transposition av areola
HAD35  Reduktion av br”st med transplantation av areola
HAD40  Mastopexi
HAD45  Korrektion av inverterad mamill
HAD50  Avl„gsnande av inopererad br”stprotes
HAD55  Kapselklyvning i br”st
HAD60  Byte av br”stprotes
HAD99  Annan korrektiv operation p† br”st
HAE00  Rekonstruktion av br”st med protes
HAE05  Rekonstruktion av br”st med lamb† och protes
HAE10  Rekonstruktion av br”st med transplantat eller lamb†
HAE20  Rekonstruktion av areola och mamill med transplantat eller lamb†
HAE99  Annan rekonstruktion av br”st
HAF00  Lokal excision av cancerrecidiv eller metastas
HAF10  Rekonstruktion efter excision av br”stcancerrecidiv med transplantat eller lamb†
HAF20  Rekonstruktion efter excision av br”stcancerrecidiv med fr„mmande material
HAF99  Annan operation vid lokalrecidiv av br”stcancer
HWA00  Reoperation f”r s†rruptur
HWB00  Reoperation f”r ytlig infektion
HWC00  Reoperation f”r djup infektion
HWD00  Reoperation f”r ytlig bl”dning
HWE00  Reoperation f”r djup bl”dning
HWF00  Reoperation f”r anastomos- eller suturinsufficiens
HWW99  Annan reoperation p† br”stk”rtel
JAA00  Incision av bukv„ggen
JAA10  Exstirpation av f”r„ndring i bukv„ggen
JAA11  Laparoskopisk biopsi eller lokal exstirpation av f”r„ndring i bukv„ggen
JAA96  Annan operation p† bukv„ggen
JAA97  Annan laparoskopisk operation p† bukv„ggen
JAB00  Exstirpation av inguinal br†cks„ck
JAB10  Radikaloperation av ljumskbr†ck
JAB11  Laparoskopisk operation av ljumskbr†ck
JAB20  Radikaloperation av ljumskbr†ck med transplantat
JAB30  Radikaloperation av ljumskbr†ck med implantation av fr„mmande material
JAB40  Laparotomi med bukv„ggsplastik vid ljumskbr†ck
JAB96  Annan operation f”r ljumskbr†ck
JAB97  Annan laparoskopisk operation f”r ljumskbr†ck
JAC10  Radikaloperation av femoralbr†ck
JAC11  Laparoskopisk operation av femoralbr†ck
JAC30  Radikaloperation av femoralbr†ck med fr„mmande material
JAC40  Laparotomi med bukv„ggsplastik f”r femoralbr†ck
JAC96  Annan operation f”r femoralbr†ck
JAC97  Annan laparoskopisk operation f”r femoralbr†ck
JAD10  Radikaloperation av „rrbr†ck
JAD11  Laparoskopisk operation av „rrbr†ck
JAD20  Radikaloperation av „rrbr†ck med transplantat
JAD30  Radikaloperation av „rrbr†ck med implantation av fr„mmande material
JAD96  Annan operation f”r „rrbr†ck
JAD97  Annan laparoskopisk operation f”r „rrbr†ck
JAE10  Radikaloperation av epigastrikabr†ck
JAF10  Radikaloperation av navelbr†ck
JAF11  Laparoskopisk operation av navelbr†ck
JAF20  Radikaloperation av navelbr†ck med transplantat
JAF30  Radikaloperation av navelbr†ck med implantation av fr„mmande material
JAF96  Annan operation f”r navelbr†ck
JAF97  Annan laparoskopisk operation f”r navelbr†ck
JAG00  Operation av annat br†ck
JAG01  Laparoskopisk operation av annat br†ck
JAG10  Operation av gastroschisis
JAG20  Operation av omfalocele
JAG30  Bukv„ggsrekonstruktion med transplantat
JAG60  Bukv„ggsrekonstruktion med fr„mmande material
JAG96  Annan bukv„ggsrekonstruktion
JAG97  Annan laparoskopisk bukv„ggsrekonstruktion
JAH00  Explorativ laparotomi
JAH01  Laparoskopi
JAH20  Laparotomi med biopsier f”r staging
JAH21  Laparoskopi med biopsier f”r staging
JAH30  Laparostomi
JAH33  ™ppning av laparostomi
JAH40  Explorativ torakolaparotomi
JAJ00  Incision och dr„nage av b„ckenabscess via rektum
JAK00  Laparotomi och dr„nage av bukh†lan
JAK01  Laparoskopiskt dr„nage av bukh†lan
JAK03  Laparotomi och peritonealt lavage
JAK04  Laparoskopi och peritonealt lavage
JAK10  Laparotomi och inl„ggande av peritoneal dialyskateter
JAL00  Biopsi av peritoneum
JAL01  Laparoskopisk biopsi av peritoneum
JAL10  Laparotomi med avl„gsnande av fr„mmande kropp
JAL11  Laparoskopi med avl„gsnande av fr„mmande kropp
JAL20  Exstirpation eller destruktion av f”r„ndring i peritoneum
JAL21  Laparoskopisk exstirpation eller destruktion av f”r„ndring i peritoneum
JAL30  Omentresektion
JAL31  Laparoskopisk omentresektion
JAL96  Annan exstirpation av f”r„ndring i peritoneum
JAL97  Annan laparoskopisk exstirpation av f”r„ndring i peritoneum
JAM00  Transposition av oment
JAM10  Operation f”r malrotation
JAN00  Inl„ggande av peritonealven”s shunt
JAN10  Revision av peritonealven”s shunt
JAN20  Avl„gsnande av peritonealven”s shunt
JAP00  Adherensl”sning i bukh†lan
JAP01  Laparoskopisk adherensl”sning i bukh†lan
JAW96  Annan operation p† bukv„gg, mesenterium, peritoneum eller oment
JAW97  Annan laparoskopisk operation p† bukv„gg, mesenterium, peritoneum eller oment
JBA00  Sutur av diafragmaruptur
JBA01  Laparoskopisk sutur av diafragmaruptur
JBA10  Biopsi eller exstirpation av f”r„ndring i diafragma
JBA11  Laparoskopisk biopsi eller exstirpation av f”r„ndring i diafragma
JBB00  Radikaloperation av paraesofagealt br†ck
JBB01  Laparoskopisk operation av paraesofagealt br†ck
JBB10  Radikaloperation av medf”tt diafragmabr†ck
JBB11  Laparoskopisk operation av medf”tt diafragmabr†ck
JBB96  Annan operation av diafragmabr†ck
JBB97  Annan laparoskopisk operation av diafragmabr†ck
JBC00  Operation f”r gastroesofageal reflux
JBC01  Laparoskopisk operation f”r gastroesofageal reflux
JBW96  Annan operation p† diafragma eller vid gastroesofageal reflux
JBW97  Annan laparoskopisk operation p† diafragma eller vid gastroesofageal reflux
JCA00  Esofagotomi
JCA01  Laparoskopisk eller torakoskopisk exstirpation av f”r„ndring i esofagus
JCA05  Endoskopisk polypektomi i esofagus
JCA08  Endoskopiskt avl„gsnande av fr„mmande kropp i esofagus
JCA12  Endoskopisk divertikuloesofagostomi
JCA20  Ligatur av esofagusvaricer
JCA22  Endoskopisk ligatur av esofagusvaricer
JCA32  Endoskopisk injektionsbehandling i esofagus
JCA35  Endoskopisk koagulation i esofagus
JCA38  Endoskopisk laserterapi i esofagus
JCA42  Annan endoskopisk hemostatisk behandling i esofagus
JCA52  Annan endoskopisk diatermi- eller v„rmebehandling i esofagus
JCA55  Endoskopisk dilatation av esofagus
JCA60  Transcervikal exstirpation av esofagusdivertikel
JCA96  Annan lokal operation p† esofagus
JCA97  Annan torakoskopisk eller laparoskopisk lokal operation p† esofagus
JCA98  Annan endoskopisk lokal operation p† esofagus
JCB00  Esofagostomi
JCB01  Laparoskopisk eller torakoskopisk esofagostomi
JCC00  Transhiatal resektion av esofagus utan interposition
JCC10  Transtorakal resektion av esofagus utan interposition
JCC12  Torakoskopisk eller laparoskopisk resektion av esofagus
JCC20  Transhiatal resektion av esofagus med interposition av tarm
JCC30  Transtorakal resektion av esofagus med interposition av tarm
JCC96  Annan resektion av esofagus
JCC97  Annan laparoskopisk resektion av esofagus
JCD00  Subkutan anastomosering av esofagus utan interposition
JCD03  Subkutan anastomosering av esofagus med interposition av tarm
JCD10  Intratorakal anastomosering av esofagus utan interposition
JCD11  Torakoskopisk eller laparoskopisk anastomosering av esofagus utan interposition
JCD13  Intratorakal anastomosering av esofagus med interposition av tarm
JCD20  Transsektion av esofagus
JCD96  Annan anastomosering av esofagus utan resektion
JCD97  Annan torakoskopisk eller laparoskopisk anastomosering av esofagus utan resektion
JCE00  Sutur av esofagus
JCE01  Torakoskopisk eller laparoskopisk sutur av esofagus
JCE10  Plastisk operation f”r kardiastenos
JCE20  Esofagogastromyotomi
JCE21  Laparoskopisk esofagogastromyotomi
JCE30  Rekonstruktion vid esofagusatresi eller esofagotrakeal fistel
JCE33  Slutning av f”rv„rvad esofagotrakeal eller esofagobronkial fistel
JCE40  Rekonstruktion av esofagus med lamb†
JCE50  Rekonstruktion av esofagus med fritt transplantat
JCE96  Annan rekonstruktion av esofagus
JCE97  Annan torakoskopisk eller laparoskopisk rekonstruktion av esofagus
JCF00  Nedl„ggning av stent i esofagus
JCF12  Endoskopisk nedl„ggning av stent i esofagus
JCW96  Annan operation p† esofagus
JCW97  Annan torakoskopisk eller laparoskopisk operation p† esofagus
JCW98  Annan transluminal endoskopisk operation p† esofagus
JDA00  Gastrotomi
JDA05  Endoskopisk polypektomi i ventrikeln inkl pylorus
JDA08  Endoskopiskt avl„gsnande av fr„mmande kropp i ventrikeln
JDA22  Endoskopisk ligatur av fundusvaricer
JDA32  Endoskopisk injektionsbehandling i ventrikeln inkl pylorus
JDA35  Endoskopisk koagulation i ventrikeln inkl pylorus
JDA38  Endoskopisk laserterapi i ventrikeln inkl pylorus
JDA42  Annan endoskopisk hemostatisk †tg„rd i ventrikeln inkl pylorus
JDA52  Annan endoskopisk lokal operation med diatermi eller v„rme i ventrikeln inkl pylorus
JDA55  Endoskopisk dilatation av ventrikel, pylorus eller ventrikelanastomos
JDA60  Gastrorafi
JDA61  Laparoskopisk gastrorafi
JDA63  Exstirpation av lokal f”r„ndring i ventrikeln inkl pylorus
JDB00  Gastrostomi
JDB01  Laparoskopisk gastrostomi
JDB10  Perkutan gastrostomi
JDC00  Ventrikelresektion med gastroduodenostomi
JDC10  Ventrikelresektion med gastrojejunostomi
JDC11  Laparoskopisk ventrikelresektion med gastrojejunostomi
JDC20  Ventrikelresektion med gastrojejunostomi ad modum Roux-en-Y
JDC30  Ventrikelresektion med jejunuminterposition
JDC40  Kardiaresektion med esofagogastrostomi
JDC96  Ventrikelresektion med annan rekonstruktion
JDC97  Laparoskopisk ventrikelresektion med annan rekonstruktion
JDD00  Gastrektomi med esofagojejunostomi ad modum Roux-en-Y
JDD96  Gastrektomi med annan rekonstruktion
JDE00  Gastroenterostomi
JDE01  Laparoskopisk gastroenterostomi
JDE10  Konvertering av gastroenterostomi till Roux-en-Y anastomos
JDE20  Konvertering av gastroenterostomi till gastroduodenostomi med jejunuminterposition
JDE96  Annan ventrikelanastomos utan samtidig resektion
JDF00  Gastroplastik
JDF01  Laparoskopisk gastroplastik
JDF10  Gastric bypass
JDF11  Laparoskopisk gastric bypass
JDF20  Gastric banding
JDF21  Laparoskopisk gastric banding
JDF32  Endoskopiskt inf”rande av expanderbar fr„mmande kropp i ventrikeln
JDF96  Annat volymsinskr„nkande ingrepp p† ventrikeln
JDF97  Annat laparoskopiskt volymsinskr„nkande ingrepp p† ventrikeln
JDF98  Annat gastroskopiskt volymsinskr„nkande ingrepp p† ventrikeln
JDG00  Trunkal vagotomi
JDG01  Laparoskopisk eller torakoskopisk trunkal vagotomi
JDG10  Proximal vagotomi
JDG11  Laparoskopisk proximal vagotomi
JDG96  Annan vagotomi
JDG97  Annan laparoskopisk vagotomi
JDH00  Duodenotomi
JDH05  Endoskopisk polypektomi i duodenum
JDH08  Endoskopiskt avl„gsnande av fr„mmande kropp i duodenum
JDH15  Endoskopisk injektionsbehandling i duodenum
JDH18  Endoskopisk koagulation i duodenum
JDH22  Endoskopisk laserterapi i duodenum
JDH25  Annat endoskopiskt hemostatiskt ingrepp i duodenum
JDH28  Annat endoskopiskt lokalt ingrepp med diatermi eller v„rme i duodenum
JDH32  Endoskopisk dilatation av duodenum
JDH40  Duodenostomi
JDH41  Laparoskopisk duodenostomi
JDH50  Exstirpation av lokal f”r„ndring i bulbus duodeni
JDH60  Pyloromyotomi
JDH61  Laparoskopisk pyloromyotomi
JDH63  Pylorusplastik
JDH70  Duodenorafi
JDH71  Laparoskopisk duodenorafi
JDW96  Annan operation p† ventrikeln eller duodenum
JDW97  Annan laparoskopisk operation p† ventrikeln eller duodenum
JDW98  Annan transluminal endoskopisk operation p† ventrikeln eller duodenum
JEA00  Appendektomi
JEA01  Laparoskopisk appendektomi
JEA10  Appendektomi med dr„nage
JEW96  Annan operation p† appendix
JEW97  Annan laparoskopisk operation p† appendix
JFA00  Enterotomi
JFA02  Endoskopisk extraktion av fr„mmande kropp i tunntarm
JFA05  Endoskopisk polypektomi i tunntarm
JFA10  Kolotomi
JFA12  Endoskopisk extraktion av fr„mmande kropp i kolon
JFA15  Endoskopisk polypektomi i kolon
JFA16  V„ggbiopsi av kolon utan kolotomi
JFA17  Laparoskopisk v„ggbiopsi av kolon utan kolotomi
JFA22  Endoskopisk injektionsbehandling i tunntarm
JFA25  Endoskopisk koagulation i tunntarm
JFA28  Endoskopisk laserterapi i tunntarm
JFA32  Annat endoskopiskt hemostatiskt ingrepp i tunntarm
JFA35  Annat endoskopisk lokalt ingrepp med diatermi eller v„rme i tunntarm
JFA38  Endoskopisk dilatation av tunntarm
JFA42  Endoskopisk injektionsbehandling i kolon
JFA45  Endoskopisk koagulation i kolon
JFA48  Endoskopisk laserterapi i kolon
JFA52  Annat endoskopiskt hemostatiskt ingrepp i kolon
JFA55  Annat endoskopiskt lokalt ingrepp med diatermi eller v„rme i kolon
JFA58  Endoskopisk dilatation av kolon
JFA60  Strikturplastik i tunntarm
JFA63  Strikturplastik i kolon
JFA70  Enterorafi
JFA71  Laparoskopisk enterorafi
JFA73  Exstirpation av lokal f”r„ndring i tunntarm
JFA74  Laparoskopisk exstirpation av lokal f”r„ndring i tunntarm
