AA0 27	Innlegging av intracerebral trykkmåler
JAC 30	Operasjon for lårbrokk med fremmed materiale
JAC 40	Laparotomi med bukveggsplastikk for lårbrokk
JAC 96	Annen operasjon for lårbrokk
JAD 10	Operasjon for arrbrokk
JAD 20	Operasjon for arrbrokk med transplantat
JAD 30	Operasjon for arrbrokk med fremmed materiale
JAD 96	Annen operasjon for arrbrokk
JAE 10	Operasjon for epigastriebrokk
JAF 10	Operasjon for navlebrokk
JAF 20	Operasjon for navlebrokk med transplantat
JAF 30	Operasjon for navlebrokk med fremmed materiale
JAF 96	Annen operasjon for navlebrokk
JAG 00	Operasjon for annet brokk
JAG 01	Laparoskopisk operasjon for annet brokk
JAG 10	Operasjon for gastroschisis
JAG 20	Operasjon for omphalocele
JAG 30	Rekonstruksjon av bukvegg med lapp
JAG 60	Rekonstruksjon av bukvegg med fremmed materiale
JAG 96	Annen rekonstruksjon av bukvegg
JAG 97	Annen laparoskopisk rekonstruksjon av bukvegg
JAH 00	Laparotomi
JAH 01	Laparoskopi
JAH 20	Eksplorativ laparotomi med systematiserte lymfeknutebiopsier
JAH 21	Eksplorativ laparoskopi med systematiserte lymfeknutebiopsier
JAH 30	Laparostomi
JAH 33	Åpning av laparostomi
JAH 40	Torakolaparotomi
JAJ 00	Incisjon og drenasje av bekkenabscess per rectum
JAK 00	Laparotomi og drenasje av bukhulen
JAK 01	Laparoskopisk drenasje av bukhulen
JAK 03	Laparotomi og peritoneal lavage
JAK 04	Laparoskopi og peritoneal lavage
JAL 00	Biopsi av peritoneum
JAL 01	Laparoskopisk biopsi av peritoneum
JAL 10	Laparotomi og fjerning av fremmedlegeme
JAL 11	Laparoskopi og fjerning av fremmedlegeme
JAL 20	Ekstirpasjon eller destruksjon av lesjon i peritoneum
JAL 21	Laparoskopisk ekstirpasjon eller destruksjon av lesjon i peritoneum
JAL 30	Omentektomi
JAL 31	Laparoskopisk omentektomi
JAL 96	Annen lokal ekstirpasjon i peritoneum
JAL 97	Annen laparoskopisk lokal ekstirpasjon i peritoneum
JAM 00	Transposisjon av oment
JAM 10	Operasjon for malrotasjon av tarm
JAN 00	Anleggelse av peritoneovenøs shunt
JAN 10	Revisjon av peritoneovenøs shunt
JAN 20	Fjerning av peritoneovenøs shunt
JAP 00	Adheranseløsning i bukhulen
JAP 01	Laparoskopisk adheranseløsning i bukhulen
JAW 96	Annen operasjon på bukvegg, peritoneum, mesenterium eller oment
JAW 97	Annen laparoskopisk operasjon på bukvegg, peritoneum, mesenterium eller oment
JBA 00	Transabdominal rekonstruksjon av diafragma ved ruptur
JBA 01	Laparoskopisk rekonstruksjon av diafragma ved ruptur
JBA 10	Transabdominal biopsi eller lokal ekstirpasjon i diafragma
JBA 11	Laparoskopisk biopsi eller lokal ekstirpasjon i diafragma
JBB 00	Operasjon for paraøsofagealt hernie
JBB 01	Laparoskopisk operasjon for paraøsofagealt hernie
JBB 10	Operasjon for medfødt diafragmahernie
JBB 11	Laparoskopisk operasjon for medfødt diafragmahernie
JBB 96	Operasjon for annet diafragmahernie
JBB 97	Laparoskopisk operasjon for annet diafragmahernie
JBC 00	Gastroøsofageal antirefluksoperasjon
JBC 01	Laparoskopisk gastroøsofageal antirefluksoperasjon
JBW 96	Annen transabdominal operasjon på diafragma eller operasjon for gastroøsofageal refluks
JBW 97	Annen laparoskopisk operasjon på diafragma eller laparoskopisk eller torakoskopisk operasjon for gastroøsofageal refluks
JCA 00	Øsofagotomi
JCA 01	Torakoskopisk eller laparoskopisk lokal ekstirpasjon i øsofagus
JCA 05	Endoskopisk polypektomi i øsofagus
JCA 08	Endoskopisk fjerning av fremmedlegeme fra øsofagus
JCA 12	Endoskopisk divertikuloøsofagostomi
JCA 20	Ligatur av øsofagusvaricer
JCA 22	Endoskopisk ligatur av øsofagusvaricer
JCA 32	Endoskopisk injeksjon i øsofagus
JCA 35	Endoskopisk kontaktkoagulasjon i øsofagus
JCA 38	Endoskopisk laserterapi i øsofagus
JCA 52	Annet endoskopisk inngrep med diatermi eller varme i øsofagus
JCA 55	Endoskopisk dilatasjon av øsofagus
JCA 60	Transcervikal eksisjon av øsofagusdivertikkel
JCA 96	Annet lokalt inngrep på øsofagus
JCA 97	Annet torakoskopisk eller laparoskopisk lokalt inngrep på øsofagus
JCA 98	Annet transluminal endoskopisk lokalt inngrep på øsofagus
JCB 00	Øsofagostomi
JCB 01	Torakoskopisk eller laparoskopisk øsofagostomi
JCC 00	Transhiatal øsofagusreseksjon uten interposisjon
JCC 10	Transtorakal øsofagusreseksjon uten interposisjon
JCC 12	Torakoskopisk eller laparoskopisk øsofagusreseksjon
JCC 20	Transhiatal øsofagusreseksjon med interposisjon av tarm
JCC 30	Transtorakal øsofagusreseksjon med interposisjon av tarm
JCC 96	Annen øsofagusreseksjon
JCC 97	Annen torakoskopisk eller laparoskopisk øsofagusreseksjon
JCD 00	Subkutan øsofagusanastomose uten interposisjon
JCD 03	Subkutan øsofagusanastomose med interposisjon av tarm
JCD 10	Intratorakal øsofagusanastomose uten interposisjon
JCD 11	Torakoskopisk eller laparoskopisk øsofagusanastomose uten interposisjon
JCD 13	Intratorakal øsofagusanastomose med interposisjon av tarm
JCD 20	Transseksjon av øsofagus
JCD 96	Annen øsofagusanastomose
JCD 97	Annen torakoskopisk eller laparoskopisk øsofagusanastomose
JCE 00	Sutur av øsofagus
JCE 01	Torakoskopisk eller laparoskopisk sutur av øsofagus
JCE 10	Plastisk operasjon for kardiastenose
JCE 20	Kardiomyotomi
JCE 21	Laparoskopisk kardiomyotomi
JCE 30	Operasjon for øsofagusatresi eller medfødt tracheoøsofageal fistel
JCE 33	Lukking av ervervet tracheoøsofageal eller bronkoøsofageal fistel
JCE 40	Rekonstruksjon av øsofagus med lapp
JCE 50	Rekonstruksjon av øsofagus med fritt mikrovaskulært tarmtransplantat
JCE 96	Annen rekonstruksjon av øsofagus
JCE 97	Annen torakoskopisk eller laparoskopisk rekonstruksjon av øsofagus
JCF 00	Åpen nedleggelse av øsofagusstent
JCF 12	Endoskopisk nedleggelse av øsofagusstent
JCW 96	Annen operasjon på øsofagus
JCW 97	Annen laparoskopisk eller torakoskopisk operasjon på øsofagus
JCW 98	Annet transluminalt endoskopisk inngrep på øsofagus
JDA 00	Gastrotomi
JDA 05	Endoskopisk polypektomi i ventrikkel eller pylorus
JDA 08	Endoskopisk fjerning av fremmedlegeme fra ventrikkel eller pylorus
JDA 22	Endoskopisk ligatur av ventrikkelvaricer
JDA 32	Endoskopisk injeksjon i ventrikkel eller pylorus
JDA 35	Endoskopisk kontaktkoagulasjon i ventrikkel eller pylorus
JDA 38	Endoskopisk laserterapi i ventrikkel eller pylorus
JDA 42	Annet endoskopisk hemostaseinngrep i ventrikkel eller pylorus
JDA 52	Annet endoskopisk inngrep med diatermi eller varme i ventrikkel eller pylorus
JDA 55	Endoskopisk dilatasjon av ventrikkel, pylorus eller ventrikkelanastomose
JDA 60	Gastrorafi
JDA 61	Laparoskopisk gastrorafi
JDA 63	Lokal ekstirpasjon i ventrikkel
JDB 00	Gastrostomi
JDB 01	Laparoskopisk gastrostomi
JDB 10	Perkutan gastrostomi
JDC 00	Ventrikkelreseksjon med gastroduodenostomi
JDC 10	Ventrikkelreseksjon med gastroenterostomi
JDC 11	Laparoskopisk ventrikkelreseksjon med gastroenterostomi
JDC 20	Ventrikkelreseksjon med Roux-en-Y gastroenterostomi
JDC 30	Ventrikkelreseksjon med jejunum-interposisjon
JDC 40	Kardiareseksjon med øsofagogastrostomi
JDC 96	Ventrikkelreseksjon med annen rekonstruksjon
JDC 97	Laparoskopisk ventrikkelreseksjon med annen rekonstruksjon
JDD 00	Total gastrektomi med Roux-en-Y øsofagojejunostomi
JDD 96	Total gastrektomi med annen rekonstruksjon
JDE 00	Gastroenterostomi
JDE 01	Laparoskopisk gastroenterostomi
JDE 10	Konvertering av gastroenterostomi til Roux-en-Y anastomose
JDE 20	Konvertering av gastroenterostomi til gastroduodenostomi med jejunum-interposisjon
JDE 96	Annen ventrikkelanastomose uten samtidig reseksjon
JDF 00	Gastroplastikk
JDF 01	Laparoskopisk gastroplastikk
JDF 10	Ventrikkelbypass
JDF 11	Laparoskopisk ventrikkelbypass
JDF 20	Ventrikkelbanding
JDF 21	Laparoskopisk ventrikkelbanding
JDF 32	Endoskopisk nedlegging av ekspanderende fremmedlegeme i ventrikkel
JDF 96	Annen voluminnskrenkende operasjon på ventrikkel
JDF 97	Annen laparoskopisk voluminnskrenkende operasjon på ventrikkel
JDF 98	Annet transluminalt endoskopisk voluminnskrenkende inngrep på ventrikkel
JDG 00	Trunkal vagotomi
JDG 01	Laparoskopisk eller torakoskopisk trunkal vagotomi
JDG 10	Proksimal gastrisk vagotomi
JDG 11	Laparoskopisk proksimal gastrisk vagotomi
JDG 96	Annen vagotomi
JDG 97	Annen laparoskopisk vagotomi
JDH 00	Duodenotomi
JDH 05	Endoskopisk polypektomi i duodenum
JDH 08	Endoskopisk fjerning av fremmedlegeme fra duodenum
JDH 15	Endoskopisk injeksjon i duodenum
JDH 18	Endoskopisk kontaktkoagulasjon i duodenum
JDH 22	Endoskopisk laserterapi i duodenum
JDH 25	Annet endoskopisk hemostaseinngrep i duodenum
JDH 28	Annet endoskopisk inngrep med diatermi eller varme i duodenum
JDH 32	Endoskopisk dilatasjon av duodenum
JDH 40	Duodenostomi på bulbus
JDH 41	Laparoskopisk duodenostomi på bulbus
JDH 50	Lokal ekstirpasjon i bulbus duodeni
JDH 60	Pyloromyotomi
JDH 61	Laparoskopisk pyloromyotomi
JDH 63	Pylorusplastikk
JDH 70	Duodenorafi
JDH 71	Laparoskopisk duodenorafi
JDW 96	Annen operasjon på ventrikkel eller bulbus duodeni
JDW 97	Annen laparoskopisk operasjon på ventrikkel eller bulbus duodeni
JDW 98	Annet transluminalt endoskopisk inngrep på ventrikkel eller duodenum
JEA 00	Appendektomi
JEA 01	Laparoskopisk appendektomi
JEW 96	Annen operasjon på appendiks
JEW 97	Annen laparoskopisk operasjon på appendiks
JFA 00	Enterotomi
JFA 02	Endoskopisk fjerning av fremmedlegeme fra tynntarm
JFA 05	Endoskopisk polypektomi i tynntarm
JFA 10	Kolotomi
JFA 12	Endoskopisk fjerning av fremmedlegeme fra colon
JFA 15	Endoskopisk polypektomi i colon
JFA 16	Biopsi av kolonvegg uten kolotomi
JFA 17	Laparoskopisk biopsi av kolonvegg uten kolotomi
JFA 22	Endoskopisk injeksjon i tynntarm
JFA 25	Endoskopisk kontaktkoagulasjon i tynntarm
JFA 28	Endoskopisk laserterapi i tynntarm
JFA 32	Annet endoskopisk hemostaseinngrep i tynntarm
JFA 35	Annet endoskopisk inngrep med diatermi eller varme i tynntarm
JFA 38	Endoskopisk dilatasjon av tynntarm
JFA 42	Endoskopisk injeksjon i colon
JFA 45	Endoskopisk kontaktkoagulasjon i colon
JFA 48	Endoskopisk laserterapi i colon
JFA 52	Annet endoskopisk hemostaseinngrep i colon
JFA 55	Annet endoskopisk inngrep med diatermi eller varme i colon
JFA 60	Strikturoplastikk i tynntarm
JFA 63	Strikturoplastikk i colon
JFA 70	Enterorafi
JFA 71	Laparoskopisk enterorafi
JFA 73	Lokal ekstirpasjon i tynntarm
JFA 74	Laparoskopisk lokal ekstirpasjon i tynntarm
JFA 76	Lukking av tynntarmsfistel
JFA 80	Kolorafi
JFA 81	Laparoskopisk kolorafi
JFA 83	Lokal ekstirpasjon i colon
JFA 84	Laparoskopisk lokal ekstirpasjon i colon
JFA 86	Lukking av kolonfistel
JFA 96	Annet lokalt inngrep på tarm
JFA 97	Annet laparoskopisk lokalt inngrep på tarm
JFA 98	Annet transluminalt endoskopisk lokalt inngrep på tarm
JFB 00	Tynntarmsreseksjon
JFB 01	Laparoskopisk tynntarmsreseksjon
JFB 10	Reversering av tynntarmssegment
JFB 13	Forlengelsesplastikk på tynntarm
JFB 20	Ileocøkal reseksjon
JFB 21	Laparoskopisk ileocøkal reseksjon
JFB 30	Høyresidig hemikolektomi
JFB 31	Laparoskopisk høyresidig hemikolektomi
JFB 33	Annen reseksjon som omfatter tynntarm og colon
JFB 34	Annen laparoskopisk reseksjon som omfatter tynntarm og colon
JFB 40	Reseksjon av colon transversum
JFB 41	Laparoskopisk reseksjon av colon transversum
JFB 43	Venstresidig hemikolektomi
JFB 44	Laparoskopisk venstresidig hemikolektomi
JFB 46	Reseksjon av colon sigmoideum
JFB 47	Laparoskopisk reseksjon av colon sigmoideum
JFB 50	Annen kolonreseksjon
JFB 51	Annen laparoskopisk kolonreseksjon
JFB 60	Reseksjon av colon sigmoideum med terminal kolostomi
JFB 61	Laparoskopisk reseksjon av colon sigmoideum med terminal kolostomi og distal lukking
JFB 63	Annen reseksjon av colon med terminal kolostomi og distal lukking
JFB 64	Annen laparoskopisk reseksjon av colon med terminal kolostomi og distal lukking
JFB 96	Annen tarmreseksjon 
JFB 97	Annen laparoskopisk tarmreseksjon
JFC 00	Enteroenterostomi
JFC 01	Laparoskopisk enteroenterostomi
JFC 10	Ileotransversostomi
JFC 11	Laparoskopisk ileotransversostomi
JFC 20	Annen enterokolostomi
JFC 21	Annen laparoskopisk enterokolostomi
JFC 30	Kolokolostomi
JFC 31	Laparoskopisk kolokolostomi
JFC 40	Ileorektostomi
JFC 41	Laparoskopisk ileorektostomi
JFC 50	Kolorektostomi
JFC 51	Laparokopisk kolorektostomi
JFD 00	Jejunoileal shunt
JFD 10	Revisjon av jejunoileal shunt
JFD 20	Tilbakekobling av tarmshunt
JFD 96	Annen tarmshuntoperasjon
JFE 00	Tynntarmstransplantasjon
JFE 96	Annen operasjon tilknyttet tynntarmstransplantasjon
JFF 00	Kateterenterostomi
JFF 01	Laparoskopisk kateterenterostomi
JFF 10	Bøyleenterostomi
JFF 11	Laparoskopisk bøyleenterostomi
JFF 13	Terminal enterostomi
JFF 20	Cøkostomi
JFF 21	Laparoskopisk cøkostomi
JFF 23	Transversostomi
JFF 24	Laparoskopisk transversostomi
JFF 26	Sigmoidostomi
JFF 27	Laparoskopisk sigmoidostomi
JFF 30	Annen kolostomi
JFF 31	Annen laparoskopisk kolostomi
JFF 40	Appendicostomi
JFF 41	Laparoskopisk appendicostomi
JFF 50	Fremlegging av kolonslynge uten åpning
JFF 51	Laparoskopisk fremlegging av kolonslynge uten åpning
JFF 60	Åpning av fremlagt kolonslynge
JFF 96	Annen fremlegging av tarm eller anleggelse av tarmstomi
JFF 97	Annen laparoskopisk fremlegging av tarm eller anleggelse av tarmstomi
JFG 00	Lukking av bøyleenterostomi uten reseksjon
JFG 10	Lukking av bøylekolostomi uten reseksjon
JFG 20	Lukking av enterostomi med reseksjon av fremlagt bøyle
JFG 23	Lukking av endeenterostomi med anastomose til tynntarm
JFG 26	Lukking av endeenterostomi med anastomose til colon
JFG 29	Lukking av endeenterostomi med anastomose til rectum
JFG 30	Lukking av kolostomi med reseksjon av fremlagt bøyle
JFG 33	Lukking av endekolostomi med anastomose til colon
JFG 36	Lukking av endekolostomi med anastomose til rectum
JFG 40	Revisjon av enterostomi eller kolostomi uten laparotomi
JFG 50	Laparotomi med revisjon av enterostomi eller kolostomi
JFG 53	Revisjon av ileoanalt eller ileorektalt reservoar
JFG 56	Revisjon av koloanalt eller kolorektalt reservoar
JFG 60	Konvertering av konvensjonell ileostomi til kontinent ileostomi
JFG 70	Konvertering av kontinent ileostomi til konvensjonell ileostomi
JFG 73	Eksisjon av ileoanalt eller ileorektalt reservoar
JFG 76	Eksisjon av kolonreservoar med koloanal eller kolorektal anastomose
JFG 80	Eksisjon av ileumreservoar med anleggelse av ny kontinent ileostomi
JFG 83	Eksisjon av kolonreservoar med anleggelse av nytt reservoar
JFG 86	Eksisjon av ileoanalt eller ileorektalt reservoar med anleggelse av nytt reservoar
JFG 96	Annen operasjon på tarmstomi eller reservoar
JFH 00	Total kolektomi og ileorektal anastomose
JFH 10	Total kolektomi og ileostomi
JFH 20	Proktokolektomi og ileostomi
JFH 30	Proktokolektomi og ileoanal anastomose uten ileostomi
JFH 33	Proktokolektomi og ileoanal anastomose med bøyleileostomi
JFH 40	Proktokolektomi og kontinent ileostomi
JFH 96	Annen total kolektomi
JFJ 00	Cøkopeksi
JFJ 01	Laparoskopisk cøkopeksi
JFJ 96	Annen enteropeksi eller kolopeksi
JFJ 97	Annen laparoskopisk enteropeksi eller kolopeksi
JFK 00	Deling av adheransestreng ved tarmobstruksjon
JFK 01	Laparoskopisk deling av adheransestreng ved tarmobstruksjon
JFK 10	Adheranseløsning ved tarmobstruksjon
JFK 11	Laparoskopisk adheranseløsning ved tarmobstruksjon
JFK 20	Enterolyse og tynntarmsplikatur
JFK 96	Annen adheranseoperasjon ved tarmobstruksjon
JFK 97	Annen laparoskopisk adheranseoperasjon ved tarmobstruksjon
JFL 00	Åpen desinvaginasjon av tarm
JFL 10	Laparotomi og manipulasjon av obstruert tarm
JFL 20	Laparotomi og manipulasjon av fastsittende tarminnhold
JFL 96	Annen operasjon for tarmobstruksjon uten reseksjon eller adheranseløsning
JFM 00	Peroperativ tarmskylling
JFW 96	Annen tarmoperasjon
JFW 97	Annen laparoskopisk tarmoperasjon
JFW 98	Annet transluminalt endoskopisk tarminngrep
JGA 00	Proktotomi
JGA 02	Endoskopisk fjerning av fremmedlegeme fra rectum
JGA 05	Endoskopisk polypektomi i rectum
JGA 22	Endoskopisk injeksjon i rectum
JGA 28	Endoskopisk kontaktkoagulasjon i rectum
JGA 32	Endoskopisk laserterapi i rectum
JGA 35	Annet endoskopisk hemostaseinngrep i rectum
JGA 52	Annet endoskopisk inngrep med diatermi eller varme i rectum
JGA 60	Sutur av rectum
JGA 70	Proktotomi og lokal ekstirpasjon i rectum
JGA 73	Transanal lokal ekstirpasjon i rectum
JGA 75	Transanal endoskopisk mikrokirurgi
JGA 96	Annen proktotomi eller lokalt inngrep på rectum
JGA 97	Annen laparoskopisk proktotomi eller lokalt inngrep på rectum
JGA 98	Annet transluminalt endoskopisk lokalt inngrep på rectum
JGB 00	Rektumreseksjon og kolorektal eller koloanal anastomose
JGB 01	Laparoskopisk rektumreseksjon og kolorektal eller koloanal anastomose
JGB 10	Rektumreseksjon og endekolostomi
JGB 11	Laparoskopisk rektumreseksjon og endekolostomi
JGB 20	Partiell rektosigmoidektomi og abdominoperineal pull-through anastomose
JGB 30	Abdominoperineal rektumamputasjon
JGB 40	Proktektomi og endeileostomi
JGB 50	Mukosal proktektomi og ileoanal anastomose
JGB 96	Annen reseksjon eller amputasjon av rectum
JGB 97	Annen laparoskopisk reseksjon eller amputasjon av rectum
JGC 00	Rektopeksi
JGC 01	Laparoskopisk rektopeksi
JGC 10	Perineal rektopeksi
JGC 20	Transanal sutur
JGC 30	Eksisjon og sutur av rektal mukosa med imbrikasjon av muscularis
JGC 40	Anorektal rekonstruksjon ved analatresi
JGC 96	Annet rekonstruksjonsinngrep på rectum
JGC 97	Annet laparoskopisk rekonstruksjonsinngrep på rectum
JGD 00	Eksisjon av perinealt tumorresidiv
JGW 96	Annen operasjon på rectum
JGW 97	Annen laparoskopisk operasjon på rectum
JGW 98	Annet transluminalt endoskopisk inngrep på rectum
JHA 00	Anal eller perianal incisjon
JHA 10	Biopsi i analkanalen
JHA 20	Lokal ekstirpasjon i analkanalen eller perianalt vev
JHA 30	Termisk behandling av lesjon i analkanalen eller perianalt
JHB 00	Hemoroidektomi
JHB 10	Termisk destruksjon av hemoroider eller slimhinneprolaps
JHB 20	Skleroterapi av hemoroider
JHB 30	Gummiringligatur av hemoroider eller slimhinneprolaps
JHB 96	Annet inngrep for hemoroider eller slimhinneprolaps
JHC 00	Sutur av analsfinkter
JHC 10	Rekonstruksjon av analsfinkter uten transplantat
JHC 20	Rekonstruksjon av analsfinkter med muskeltransplantasjon
JHC 30	Rekonstruksjon av analsfinkter med muskeltransposisjon
JHC 40	Anal cerclage
JHC 50	Anal operasjon for analatresi
JHD 00	Analdilatasjon
JHD 10	Myotomi av analsfinkter
JHD 20	Incisjon av analfistel
JHD 30	Inkomplett incisjon av analfistel
JHD 33	Kompletterende incisjon av analfistel
JHD 40	Reseksjon av interne analsfinkter
JHD 96	Annen incisjon av analsfinkter
JHW 96	Annen operasjon på anus eller perianalt vev
JJA 00	Eksplorasjon av lever
JJA 10	Hepatotomi
JJA 20	Åpen leverbiopsi
JJA 21	Laparoskopisk leverbiopsi
JJA 23	Åpen nålebiopsi av lever
JJA 24	Laparoskopisk nålebiopsi av lever
JJA 30	Marsupialisering av levercyste
JJA 31	Laparoskopisk marsupialisering av levercyste
JJA 40	Ekstirpasjon av lesjon i lever
JJA 43	Destruksjon av lesjon i lever
JJA 44	Laparoskopisk destruksjon av lesjon i lever
JJA 50	Sutur av lever
JJA 96	Annet lokalt inngrep på lever
JJA 97	Annet laparoskopisk lokalt inngrep på lever
JJB 00	Kilereseksjon av lever
JJB 10	Atypisk leverreseksjon
JJB 20	Eksisjon av ett leversegment
JJB 30	Eksisjon av to leversegmenter
JJB 40	Eksisjon av leversegmentene II, III og IV
JJB 50	Eksisjon av leversegmentene V, VI, VII og VIII
