AAA00	Eksplorativ kraniotomi
KED00	Transvesikal prostatektomi
KED22	Transurethral reseksjon av prostata
KED32	Transurethral incisjon av prostata
KED52	Laserreseksjon av prostata
KED62	Transurethral nåleablasjon av prostata
KED72	Transurethral mikrobølgeterapi av prostata
KED96	Annen reseksjon av prostata
KED98	Annen transurethral reseksjon av prostata
KEE00	Prostatolitotomi
KEE02	Transurethral prostatolitotomi
KEE10	Fjerning av fremmedlegeme fra prostata
KEE12	Transurethral fjerning av fremmedlegeme fra prostata
KEV00	Koagulasjon av prostata for spontan blødning
KEV02	Transurethral koagulasjon av prostata for spontan blødning
KEV12	Transurethral reseksjon av colliculus seminalis
KEV22	Transurethral innlegging av stent i prostata
KEW96	Annen operasjon på prostata eller sædblære
KEW97	Annen perkutan endoskopisk operasjon på prostata eller sædblære
KEW98	Annen transluminal endoskopisk operasjon på prostata
KFA00	Eksplorasjon av testikkel
KFA10	Eksplorativ incisjon av testikkel
KFA20	Eksplorativ incisjon av epididymis
KFA30	Incisjon av ductus deferens
KFA40	Incisjon av scrotum
KFA50	Fjerning av fremmedlegeme fra scrotum og skrotalorganer
KFA96	Annen eksplorasjon eller incisjon av scrotum eller skrotalorganer
KFB00	Biopsi av testikkel
KFB10	Biopsi av epididymis
KFB20	Biopsi av ductus deferens
KFB96	Annen biopsi av skrotalorganer
KFC00	Unilateral orkiektomi
KFC10	Bilateral orkiektomi
KFC60	Epididymektomi
KFC96	Annen eksisjon av testikkel eller epididymis
KFD00	Reseksjon av testikkel
KFD16	Reseksjon av epididymis
KFD20	Eksisjon av hydrocele testikkel
KFD26	Eksisjon av hydrocele funiculi
KFD43	Unilateral vasektomi eller ligatur av ductus deferens
KFD46	Bilateral vasektomi eller ligatur av ductus deferens
KFD50	Reseksjon eller ligatur av vena spermatica interna
KFD51	Perkutan endoskopisk reseksjon eller ligatur av vena spermatica
KFD56	Eksisjon av varicocele
KFD60	Eksisjon av skrotalfistel
KFD96	Annet reseksjonsinngrep på skrotalorganer
KFH00	Operasjon for retinert eller ektopisk testikkel
KFH10	Orkiopeksi
KFH20	Detorkvering av funikkel og fiksasjon av testikkel
KFH30	Vasovasostomi
KFH40	Epididymovasostomi
KFH50	Innlegging av testikkelprotese
KFH60	Fjerning av testikkelprotese
KFH70	Sutur av scrotum
KFH73	Rekonstruksjon av scrotum
KFH96	Annet rekonstruksjonsinngrep på scrotum eller skrotalorganer
KFW96	Annen operasjon på scrotum eller skrotalorganer
KGA00	Incisjon av penis
KGA10	Incisjon av preputium
KGA96	Annen eksplorasjon eller incisjon av penis
KGB00	Biopsi av penis
KGC00	Partiell amputasjon av penis
KGC10	Total amputasjon av penis
KGD00	Reseksjon av glans penis
KGD05	Reseksjon av penisskaft
KGD10	Destruksjon av lesjon i penis
KGD96	Annen reseksjon av penis
KGF00	Fjerning av fremmedlegeme fra penis
KGH00	Sutur av penis
KGH10	Operasjon for fimose
KGH20	Korreksjon av indurasjon eller krumning av penis
KGH30	Reseksjon eller ligatur av penil vene
KGH33	Arteriell revaskularisering av penis
KGH40	Operasjon for priapisme
KGH50	Eksisjon av spongiokavernøs fistel
KGH60	Korreksjon av hypospadi
KGH70	Korreksjon av epispadi
KGH80	Rekonstruksjon av penishud
KGH96	Annet rekonstruksjonsinngrep på penis
KGV00	Reposisjon av parafimose
KGV10	Adheranseløsning av preputium
KGV20	Rituell omskjæring
KGV30	Implantasjon av penisprotese
KGV40	Revisjon av penisprotese
KGV50	Fjerning av penisprotese
KGW96	Annen operasjon på penis
KKA00	Retroperitoneal eksplorasjon
KKA01	Perkutan endoskopisk retroperitoneal eksplorasjon
KKA10	Biopsi av retroperitonealt vev
KKA11	Perkutan endoskopisk biopsi av retroperitonealrommet
KKA20	Retroperitoneal incisjon
KKA21	Perkutan endoskopisk drenasje av retroperitonealrommet
KKB10	Eksisjon av retroperitoneal tumor
KKB11	Perkutan endoskopisk eksisjon av retroperitoneal tumor
KKB20	Eksisjon av retroperitoneal fistel
KKB21	Perkutan endoskopisk eksisjon av retroperitoneal fistel
KKF00	Fjerning av retroperitonealt fremmedlegeme
KKF01	Perkutan endoskopisk fjerning av retroperitonealt fremmedlegeme
KKW96	Annen operasjon på retroperitonealrommet
KKW97	Annen perkutan endoskopisk operasjon på retroperitonealrommet
KWA00	Reoperasjon for sårruptur ved urologisk kirurgi
KWB00	Reoperasjon for overfladisk infeksjon ved urologisk kirurgi
KWC00	Reoperasjon for dyp infeksjon ved urologisk kirurgi
KWC01	Perkutan endoskopisk reoperasjon for dyp infeksjon ved urologisk kirurgi
KWD00	Reoperasjon for overfladisk blødning ved urologisk kirurgi
KWE00	Reoperasjon for dyp blødning ved urologisk kirurgi
KWE01	Perkutan endoskopisk reoperasjon for dyp blødning ved urologisk kirurgi
KWE02	Transluminal endoskopisk reoperasjon for dyp blødning ved urologisk kirurgi
KWF00	Reoperasjon for insuffisiens av anastomose eller sutur ved urologisk kirurgi
KWF01	Perkutan endoskopisk reoperasjon for insuffisiens av anastomose eller sutur ved urologisk kirurgi
KWW96	Annen reoperasjon ved urologisk kirurgi
KWW97	Annen perkutan endoskopisk reoperasjon ved urologisk kirurgi
KWW98	Annen transluminal endoskopisk reoperasjon ved urologisk kirurgi
LAA00	Punksjon av ovarialcyste
LAA01	Laparoskopisk punksjon av ovarialcyste
LAA03	Perkutan punksjon av ovarialcyste
LAA06	Transvaginal punksjon av ovarialcyste
LAA10	Perkutan eller transvaginal punksjon med uthenting av egg
LAA11	Laparoskopisk uthenting av egg
LAA20	Perkutan eller transvaginal injeksjon i ovarialgraviditet
LAA31	Ovarioskopi
LAA96	Annen punksjon av ovarium
LAA97	Annen laparoskopisk punksjon av ovarium
LAB00	Ovariotomi
LAB01	Laparoskopisk ovariotomi
LAB10	Biopsi av ovarium
LAB11	Laparoskopisk biopsi av ovarium
LAB21	Laparoskopisk nålebiopsi av ovarium
LAB96	Annen incisjon eller biopsi av ovarium
LAB97	Annen laparoskopisk incisjon eller biopsi av ovarium
LAC00	Ekstirpasjon av ovarialcyste
LAC01	Laparoskopisk ekstirpasjon av ovarialcyste
LAC10	Fenestrasjon av ovarialcyste
LAC11	Laparoskopisk fenestrasjon av ovarialcyste
LAC20	Destruksjon av lesjon i ovarium
LAC21	Laparoskopisk destruksjon av lesjon i ovarium
LAC30	Ekstirpasjon av paraovarialcyste
LAC31	Laparoskopisk ekstirpasjon av paraovarialcyste
LAC96	Annen ekstirpasjon eller destruksjon av lesjon i ovarium
LAC97	Annen laparoskopisk ekstirpasjon eller destruksjon av lesjon i ovarium
LAD00	Reseksjon av ovarium
LAD01	Laparoskopisk reseksjon av ovarium
LAE10	Unilateral ooforektomi
LAE11	Unilateral laparoskopisk ooforektomi
LAE20	Bilateral ooforektomi
LAE21	Bilateral laparoskopisk ooforektomi
LAF00	Unilateral salpingo-ooforektomi
LAF01	Laparoskopisk unilateral salpingo-ooforektomi
LAF10	Bilateral salpingo-ooforektomi
LAF11	Laparoskopisk bilateral salpingo-ooforektomi
LAF20	Transvaginal salpingo-ooforektomi
LAG00	Ovariolyse
LAG01	Laparoskopisk ovariolyse
LAG10	Ovariopeksi
LAG11	Laparoskopisk ovariopeksi
LAG20	Detorkvering av ovarium
LAG21	Laparoskopisk detorkvering av ovarium
LAG96	Annet rekonstruksjonsinngrep på ovarium
LAG97	Annet laparoskopisk rekonstruksjonsinngrep på ovarium
LAW96	Annen operasjon på ovarium
LAW97	Annen laparoskopisk operasjon på ovarium
LBA00	Perkutan punksjon av eggleder
LBA01	Laparoskopisk punksjon av eggleder
LBA03	Transvaginal punksjon av eggleder
LBA07	Salpingoskopi
LBB00	Biopsi av eggleder
LBB01	Laparoskopisk biopsi av eggleder
LBB04	Salpingoskopisk biopsi av eggleder
LBB11	Laparoskopisk nålebiopsi av eggleder
LBB96	Annen biopsi av eggleder
LBC00	Perkutan injeksjon ved tubargraviditet
LBC03	Transvaginal injeksjon ved tubargraviditet
LBC07	Laparoskopisk injeksjon ved tubargraviditet
LBC08	Fallopioskopisk injeksjon ved tubargraviditet
LBC10	Fjerning av graviditetsprodukter fra eggleder
LBC11	Laparoskopisk fjerning av graviditetsprodukter fra eggleder
LBC20	Salpingotomi og fjerning av graviditetsprodukter
LBC21	Laparoskopisk salpingotomi og fjerning av graviditetsprodukter
LBC96	Annen tubekonserverende operasjon for tubargraviditet
LBC97	Annen laparoskopisk tubekonserverende operasjon for tubargraviditet
LBC98	Annen transluminal endoskopisk tubekonserverende operasjon for tubargraviditet
LBD00	Reseksjon av eggleder
LBD01	Laparoskopisk reseksjon av eggleder
LBE00	Salpingektomi
LBE01	Laparoskopisk salpingektomi
LBF00	Tubeperfusjon
LBF01	Laparoskopisk tubeperfusjon
LBF03	Tubeperfusjon etter rekonstruksjon
LBF11	Laparoskopi for assistert befruktning
LBF12	Hysteroskopi for assistert befruktning
LBF20	Transcervikal kateter-salpingoplastikk
LBF30	Salpingolyse
LBF31	Laparoskopisk salpingolyse
LBF40	Fimbrieplastikk
LBF41	Laparoskopisk fimbrieplastikk
LBF50	Salpingostomi
LBF51	Laparoskopisk salpingostomi
LBF60	Reseksjon og anastomose av eggleder
LBF61	Laparoskopisk reseksjon og anastomose av eggleder
LBF70	Reseksjon og reimplantasjon av eggleder
LBF96	Annen fertilitetsoperasjon på eggleder
LBF97	Annen laparoskopisk fertilitetsoperasjon på eggleder
LBW96	Annen operasjon på eggleder
LBW97	Annen laparoskopisk operasjon på eggleder
LBW98	Annen transluminal endoskopisk operasjon på eggleder
LCA00	Biopsi av uterus eller uterinligament
LCA01	Laparoskopisk biopsi av uterus eller uterinligament
LCA06	Endometriebiopsi
LCA10	Utskraping av corpus uteri
LCA13	Fraksjonert utskrapning
LCA16	Destruksjon av endometrium
LCA20	Fjerning av fremmedlegeme fra uterus
LCA22	Hysteroskopisk fjerning av fremmedlegeme
LCA30	Overføring av egg eller embryo til uterus ved assistert befruktning
LCA96	Annen intrauterin operasjon
LCA98	Annen transluminal endoskopisk operasjon på uterus
LCB00	Hysterotomi
LCB01	Laparoskopisk hysterotomi
LCB10	Enukleasjon av myoma uteri
LCB11	Laparoskopisk enukleasjon av myoma uteri
LCB14	Laparoskopisk diatermidestruksjon av myomknute
LCB20	Transvaginal enukleasjon av myoma uteri
LCB25	Hysteroskopisk ekstirpasjon av lesjon
LCB28	Hysteroskopisk eksisjon av endometrium
LCB32	Hysteroskopisk destruksjon av endometrium
LCB96	Annen ekstirpasjon av lesjon i uterus
LCB97	Annen laparoskopisk ekstirpasjon av lesjon i uterus
LCB98	Annen transluminal endoskopisk ekstirpasjon av lesjon i uterus
LCC00	Reseksjon av uterus
LCC01	Laparoskopisk reseksjon av uterus
LCC05	Hysteroskopisk reseksjon av uterinvegg
LCC10	Supravaginal hysterektomi
LCC11	Laparoskopisk subtotal hysterektomi
LCC20	Vaginal supravaginal hysterektomi
LCC96	Annen reseksjon av uterus
LCC97	Annen laparoskopisk reseksjon av uterus
LCD00	Hysterektomi
LCD01	Total laparoskopisk hysterektomi
LCD04	Laparoskopisk hysterektomi
LCD10	Vaginal hysterektomi
LCD11	Laparoskopisk assistert vaginal hysterektomi
LCD30	Radikal hysterektomi
LCD31	Radikal laparoskopisk hysterektomi
LCD40	Radikal vaginal hysterektomi
LCD96	Annen hysterektomi
LCD97	Annen laparoskopisk hysterektomi
LCE00	Fremre eksenterasjon av kvinnelig bekken
LCE10	Bakre eksenterasjon av kvinnelig bekken
LCE20	Total eksenterasjon av kvinnelig bekken
LCE96	Annen eksenterasjon av kvinnelig bekken
LCF00	Ekstirpasjon av lesjon i parametrium
LCF01	Laparoskopisk ekstirpasjon av lesjon i parametrium
LCF10	Ekstirpasjon av kvinnelig varicocele
LCF11	Laparoskopisk ekstirpasjon av kvinnelig varicocele
LCF96	Annen ekstirpasjon av lesjon i parametrium
LCF97	Annen laparoskopisk ekstirpasjon av lesjon i parametrium
LCG02	Hysteroskopisk adheranseløsning
LCG10	Sutur av uterus
LCG11	Laparoskopisk sutur av uterus
LCG20	Hysteropeksi
LCG21	Laparoskopisk hysteropeksi
LCG30	Reseksjon eller deling av sacrouterinligamenter
LCG31	Laparoskopisk reseksjon eller deling av sacrouterinligamenter
LCG40	Rekonstruksjon av uterus
LCG41	Laparoskopisk rekonstruksjon av uterus
LCG96	Annet rekonstruksjonsinngrep på uterus
LCG97	Annet laparoskopisk rekonstruksjonsinngrep på uterus
LCG98	Annet transluminalt endoskopisk rekonstruksjonsinngrep på uterus
LCH00	Vakuumaspirasjon av graviditetsprodukter i uterus
LCH03	Evakuering og utskraping av uterinhulen
LCH10	Intra- eller ekstraamniotisk instillasjon av abortmiddel
LCH13	Vakuumaspirasjon fra uterus etter medisinsk indusert abort
LCH20	Hysterotomi og evakuering av graviditetsprodukter
LCH96	Annen svangerskapsavbrytelse
LCW96	Annen operasjon på uterus eller uterinligament
LCW97	Annen laparoskopisk operasjon på uterus eller uterinligament
LCW98	Annen hysteroskopisk operasjon på uterus
LDA00	Dilatasjon av cervix uteri
LDA10	Utskraping av cervix uteri
LDA20	Biopsi av cervix uteri
LDA96	Annen biopsi av cervix uteri
LDB00	Ekstirpasjon av lesjon i cervix uteri
LDB10	Kryokirurgi i cervix uteri
LDB20	Elektrokoagulasjon eller laserterapi i cervix uteri
LDC00	Konisering av cervix uteri med kniv
LDC03	Konisering av cervix uteri med diatermi eller laser
LDC10	Reseksjon av cervix uteri
LDC96	Annen eksisjon av cervix uteri
LDD00	Sutur av cervix uteri
LDD10	Rekonstruksjon av cervix uteri
LDD20	Fjerning av cerclage fra cervix uteri
LDW96	Annen operasjon på cervix uteri
LEA01	Culdoskopi
LEA10	Kolpotomi
LEB00	Biopsi av vagina
LEB10	Ekstirpasjon av lesjon i vagina
LEB20	Marsupialisering av vaginalcyste
LEB30	Destruksjon av lesjon i vagina
LEC00	Reseksjon av vagina
LEC10	Eksisjon av vaginalseptum
LED00	Kolpektomi
LEE00	Sutur av vagina
LEE10	Rekonstruksjon av vagina med transplantat eller lapp
LEE20	Lukking av urovaginal fistel med transplantat eller lapp
LEE30	Lukking av intestinovaginal fistel med transplantat eller lapp
LEE40	Konstruksjon av vagina
LEE96	Annen rekonstruksjon av vagina
LEF00	Fremre kolporafi
LEF03	Bakre kolporafi
LEF10	Kolpoperineoplastikk
LEF13	Kolpoperineoplastikk og vaginal hysterektomi
LEF20	Partiell kolpocleise
LEF23	Total kolpocleise
LEF40	Vaginal operasjon for enterocele
LEF41	Laparoskopisk operasjon for enterocele
LEF50	Kolpopeksi etter tidligere hysterektomi
LEF51	Laparoskopisk kolpopeksi etter tidligere hysterektomi
LEF53	Vaginal kolpopeksi etter tidligere hysterektomi
LEF96	Annen operasjon for prolaps av uterus eller vaginaltoppen
LEF97	Annen laparoskopisk operasjon for prolaps av uterus eller vaginaltoppen
LEG00	Vaginal urethrocystorafi
LEG10	Vaginal urethrocystopeksi
LEG20	Rekonstruksjon av kvinnelig bekkenbunn med levatordeling
LEG96	Annen vaginal inkontinensoperasjon
LEW96	Annen operasjon på vagina
LEW97	Annen laparoskopisk operasjon på vagina
LFA00	Incisjon i vulva eller perineum
LFA10	Incisjon av hymen
LFB00	Biopsi av vulva eller perineum
LFB10	Ekstirpasjon av lesjon i vulva eller perineum
LFB20	Destruksjon av lesjon i vulva eller perineum
LFC00	Reseksjon av vulva
LFC96	Annen reseksjon av vulva eller perineum
LFD00	Vulvektomi
LFD10	Vulvektomi med eksisjon av regionale lymfeknuter
LFE00	Sutur av vulva
LFE10	Vulvaplastikk
LFE20	Sutur av perineum
LFE96	Annet rekonstruksjonsinngrep på vulva eller perineum
LFF00	Marsupialisering av Bartholins kjertel
LFF10	Eksisjon av Bartholins kjertel
LFF96	Annen operasjon på Bartholins kjertel
LFW96	Annen operasjon på vulva eller perineum
LGA00	Sterilisasjon ved tubeligatur
LGA10	Sterilisasjon ved destruksjon eller deling av tubene
LGA11	Laparoskopisk sterilisasjon ved destruksjon eller deling av tubene
LGA20	Sterilisasjon ved avsnøring av tubene
LGA21	Laparoskopisk sterilisasjon ved ved avsnøring av tubene
LGA22	Hysteroskopisk sterilisasjon
LGA96	Annen kvinnelig sterilisasjon
LGA97	Annen laparoskopisk kvinnelig sterilisasjon
LGA98	Annen transluminal endoskopisk kvinnelig sterilisasjon
LWA00	Reoperasjon for sårruptur ved gynekologisk kirurgi
LWB00	Reoperasjon for overfladisk infeksjon ved gynekologisk kirurgi
LWC00	Reoperasjon for dyp infeksjon ved gynekologisk kirurgi
LWC01	Perkutan endoskopisk reoperasjon for dyp infeksjon ved gynekologisk kirurgi
LWD00	Reoperasjon for overfladisk blødning ved gynekologisk kirurgi
LWE00	Reoperasjon for dyp blødning ved gynekologisk kirurgi
LWE01	Perkutan endoskopisk reoperasjon for dyp blødning ved gynekologisk kirurgi
LWE02	Transluminal endoskopisk reoperasjon for dyp blødning ved gynekologisk kirurgi
LWF00	Reoperasjon for insuffisiens av anastomose eller sutur ved gynekologisk kirurgi
LWF01	Perkutan endoskopisk reoperasjon for insuffisiens av anastomose eller sutur ved gynekologisk kirurgi
LWW96	Annen reoperasjon ved gynekologisk kirurgi
LWW97	Annen perkutan endoskopisk reoperasjon ved gynekologisk kirurgi
LWW98	Annen transluminal endoskopisk reoperasjon ved gynekologisk kirurgi
MA605	Intrauterin blodtransfusjon til foster
MAA00	Amniocentese
MAA03	Infusjon i amnion
MAA10	Biopsi av koriontotter
MAA22	Hysteroskopisk fjerning av livmorinnlegg fra gravid uterus
MAA30	Chordocentese
MAA40	Punksjon av foster
MAA43	Biopsi av foster
MAA51	Embryoskopi
MAA54	Foetoskopi
MAA96	Annet intrauterint inngrep på gravid uterus eller foster
MAA98	Annet hysteroskopisk inngrep på gravid uterus eller foster
MAB00	Cerclage av cervix på gravid uterus
MAB03	Fjerning av cervixcerclage før fødsel
MAB10	Ytre vending av foster
MAB20	Forsøk på ytre vending av foster
MAC00	Amniotomi før fødsel
MAC10	Cervixdilatasjon før fødsel
MAC96	Annen kirurgisk fødselsinduksjon
MAD00	Fødselsfremmende incisjon av cervix
MAD20	Fødselsfremmende pubiotomi
MAD96	Annen utvidelse av fødselsvei
MAE00	Vakuumekstraksjon i utskjæringen
MAE03	Middels eller høy vakuumekstraksjon
MAE20	Forsøk på vakuumekstraksjon
MAE96	Annen forløsning ved vakuumekstraksjon
MAF00	Utskjæringstang ved hodeleie
MAF10	Middels høy tang ved hodeleie
MAF20	Forsøk på tangforløsning ved hodeleie
MAF96	Annen tangforløsning ved hodeleie
MAG00	Manuell fremhjelp ved setefødsel
MAG03	Seteforløsning med tang
MAG10	Manuell ekstraksjon etter nedhenting av fot ved setefødsel
MAG13	Seteforløsning med tang etter nedhenting av fot
MAG20	Indre vending og manuell ekstraksjon ved setefødsel
MAG96	Annen forløsning ved seteleie
MAH00	Vakuumtraksjon under forløsning
MAH03	Traksjon med tang under forløsning
MAH10	Reposisjon av navlestrengsfremfall under forløsning
MAH20	Korreksjon av hodeinnstilling under forløsning
MAH30	Forløsning ved destruktivt inngrep på foster
MAJ00	Reduksjon av fosterantall med ett foster
MAJ10	Reduksjon av fosterantall med mer enn ett foster
MAW96	Annen operasjon under svangerskap eller ved forløsning
MAW97	Annen laparoskopisk operasjon under svangerskap
MAW98	Annen transluminal endoskopisk operasjon under svangerskap
MBA00	Vakuumaspirasjon fra uterus etter fødsel eller abort
MBA03	Utskraping av uterus etter fødsel eller abort
MBA10	Manuell eksplorasjon av uterus etter fødsel
MBA20	Utpressing av placenta
MBA30	Manuell uthenting av placenta
MBA96	Annen fjerning av av retinerte graviditetsprodukter etter fødsel eller abort
MBB00	Manuell reposisjon ved inversio uteri
MBB10	Tamponade av forløst uterus
MBB96	Annet manuelt inngrep på forløst uterus
MBC00	Sutur av fødselsrift i cervix
MBC10	Sutur av fødselsrift i vagina
MBC20	Sutur av fødselsrift i vulva
MBC30	Sutur av partiell ruptur av perineum
MBC33	Sutur av totalruptur av perineum
MBC40	Revisjon av hematom paravaginalt eller i vulva etter forløsning eller abort
MBC96	Annet rekonstruksjonsinngrep ved fødselsrift
MBW96	Annen operasjon etter forløsning eller abort
MCA00	Keisersnitt på øvre uterinsegment
MCA10	Keisersnitt på nedre uterinsegment
MCA20	Vaginalt keisersnitt
MCA30	Keisersnitt og supravaginal hysterektomi
MCA33	Keisersnitt og total hysterektomi
MCA96	Annet keisersnitt
